lambda_nm,Re_eps_eff_I0e+00,Im_eps_eff_I0e+00,status_I0e+00,Re_eps_eff_I1e+06,Im_eps_eff_I1e+06,status_I1e+06,Re_eps_eff_I5e+06,Im_eps_eff_I5e+06,status_I5e+06,Re_eps_eff_I2e+07,Im_eps_eff_I2e+07,status_I2e+07
494.0,2.824363070680029,-1.0373564774141657,ok,2.8260230002923743,-1.0375017056838485,ok,2.8325819143136277,-1.038053943724733,ok,2.856093261739168,-1.0397507311751155,ok
496.0,2.798538724121047,-1.0446477018815177,ok,2.8003055009444813,-1.0448226696313994,ok,2.807282821652775,-1.045489323389901,ok,2.8322457177572513,-1.0475572915916733,ok
498.0,2.761637414873274,-1.07334060834052,ok,2.7636171058596766,-1.0735352224059225,ok,2.7714257079240197,-1.074273194635742,ok,2.7992418345508634,-1.076518555620627,ok
500.0,2.7227069092317087,-1.103653515026668,ok,2.724932490271779,-1.1038705842812278,ok,2.733698847001447,-1.1046892482044814,ok,2.764775137388509,-1.1071255610886448,ok
502.0,2.681575146367408,-1.135727542140982,ok,2.6840858956915903,-1.135970364728297,ok,2.6939600169808076,-1.1368805007698417,ok,2.7287721079244562,-1.1395207808300958,ok
504.0,2.63805005317457,-1.1697206831917433,ok,2.6408929964633425,-1.1699931469382003,ok,2.652053621219137,-1.1710071598433711,ok,2.691158962085219,-1.1738629670363567,ok
506.0,2.5919165486216844,-1.20581040333713,ok,2.5951482934966297,-1.206117109738575,ok,2.6078094062372323,-1.2072492704328148,ok,2.6518630515977106,-1.2103293423354782,ok
508.0,2.5429329935936034,-1.2441967328918626,ok,2.54662207480228,-1.2445431508067792,ok,2.5610411281023056,-1.2458098584042003,ok,2.6108147573844236,-1.2491180900771912,ok
510.0,2.4908269627124415,-1.2851059696425138,ok,2.4950568624494385,-1.2854986265140247,ok,2.5115452084419725,-1.286918679238904,ok,2.567950003751026,-1.290451170067855,ok
512.0,2.435290182164689,-1.3287951344192344,ok,2.440163250400824,-1.3292418549865657,ok,2.4590994476764205,-1.3308367072254093,ok,2.5232135460233107,-1.3345774789879103,ok
514.0,2.3759724351826432,-1.3755573648916692,ok,2.381615020353298,-1.3760675700174922,ok,2.4034619020139343,-1.3778615329985873,ok,2.4765632068762553,-1.3817763617147991,ok
516.0,2.312474181046443,-1.4257284863213753,ok,2.3190434035644283,-1.4263135677978758,ok,2.344370087525942,-1.4283338780710044,ok,2.427975253795425,-1.432361458336768,ok
518.0,2.2443375594100874,-1.479695070000582,ok,2.2520303367185166,-1.480368860941732,ok,2.2815407563748105,-1.4826454848786752,ok,2.3774511151229145,-1.4866848390223397,ok
520.0,2.1710353525070953,-1.5379043874724592,ok,2.180100541477759,-1.5386837518332,ok,2.2146706063833044,-1.5412487007754678,ok,2.3250256149083373,-1.5451413325154753,ok
522.0,2.113377411066351,-1.6076820762353257,ok,2.1238829435820814,-1.6084184402133035,ok,2.163692025515416,-1.6106926348168782,ok,2.288411797310785,-1.612549938503346,ok
524.0,2.071572812240605,-1.6888594657732598,ok,2.0835522113337253,-1.6893548617939314,ok,2.1286430191315993,-1.6905896676767183,ok,2.267223165021836,-1.68816156967616,ok
526.0,2.029590685994083,-1.7766161025971592,ok,2.043273684618773,-1.7767639289463326,ok,2.09438687793374,-1.7765459406780955,ok,2.2481902620274155,-1.7685453201140042,ok
528.0,1.9877427778398147,-1.8716180443770762,ok,2.0033935751744947,-1.8712771636626089,ok,2.0613566712230815,-1.8690714734418288,ok,2.2317779372088173,-1.8539309123566632,ok
530.0,1.9464309724337703,-1.9746000203919782,ok,1.9643511980098407,-1.973584594002616,ok,2.030077756713909,-1.968703964089339,ok,2.218505388352372,-1.9445326124683948,ok
532.0,1.9061696316975032,-2.086368820134045,ok,1.9267001622684417,-2.084435529048461,ok,2.0011828147259307,-2.076003637212881,ok,2.2089482021313445,-2.0405430791799923,ok
534.0,1.8676131550636068,-2.2078046578530035,ok,1.8911338183938038,-2.204636889283306,ok,1.9754282756846504,-2.191545516849956,ok,2.2037400196970465,-2.142126703989646,ok
536.0,1.8315897908326926,-2.3398591856069793,ok,1.85851555212711,-2.335047878872696,ok,1.9537119995641385,-2.3159085365603054,ok,2.2035739867480406,-2.249412472207043,ok
538.0,1.799142784227839,-2.4835482326688827,ok,1.8299144581541726,-2.4765693530570085,ok,1.9370920332642834,-2.4496608198287624,ok,2.209204227673241,-2.362486294743171,ok
540.0,1.771579886513764,-2.639936535841656,ok,1.8066467749135982,-2.6301256750249045,ok,1.9268062733669888,-2.593340345220524,ok,2.2214476349587224,-2.4813826296844397,ok
542.0,1.750531963719728,-2.8101106403851275,ok,1.7903231641104183,-2.796636142956778,ok,1.9242928942447413,-2.747430006363866,ok,2.241186262462343,-2.606075032497247,ok
544.0,1.738020761885866,-2.9951347538769713,ok,1.782901389882139,-2.97697216695644,ok,1.9312114273264418,-2.9123257233555724,ok,2.2693705297849354,-2.7364650536219206,ok
546.0,1.7365345461194397,-3.1959826274294056,ok,1.7867430549927366,-3.171895260293613,ok,1.9494642998480756,-3.0882956901113054,ok,2.307023263625206,-2.8723686597135223,ok
548.0,1.7491079531679272,-3.4134366250131394,ok,1.8046715547407857,-3.381969585454658,ok,1.9812182829457985,-3.2754280046572957,ok,2.3552443034147483,-3.013499114086629,ok
550.0,1.7865480373294755,-3.643078669429171,ok,1.8466339879937435,-3.6028111479627842,ok,2.034095576637973,-3.4695924078129123,ok,2.4182940323921365,-3.1565850049478406,ok
552.0,1.849461755066977,-3.885135203972499,ok,1.9129600511955054,-3.8346052012621876,ok,2.1078229040329908,-3.6709313433969473,ok,2.495435157014258,-3.3018445512448746,ok
554.0,1.9393992077402618,-4.139823809044151,ok,2.004876836786528,-4.077557738257884,ok,2.202911100357073,-3.8796432202638615,ok,2.586503881830576,-3.44951566630914,ok
556.0,2.061250800855965,-4.404537913064978,ok,2.1266765789588664,-4.329284368784689,ok,2.3222364690551647,-4.093895451483631,ok,2.6927238216643734,-3.5985251054961385,ok
558.0,2.2200529706231715,-4.67525467963716,ok,2.2827797698510546,-4.5861989358525825,ok,2.4687547681500535,-4.311120835025124,ok,2.8153327018257364,-3.747528027016635,ok
560.0,2.420608359330424,-4.9462522240126345,ok,2.4774387922540875,-4.843263659031588,ok,2.645355420728113,-4.52785932876414,ok,2.955541684937699,-3.8948578335048394,ok
562.0,2.6669303530938984,-5.2099122530776265,ok,2.7142938935056398,-5.09379215550907,ok,2.854634115683669,-4.739608803401774,ok,3.114473968756495,-4.038474661725438,ok
564.0,2.961515611549655,-5.456704920011501,ok,2.9957717551222505,-5.329383495115303,ok,3.0985668947043994,-4.94072063063656,ok,3.293077440493245,-4.175918506903189,ok
566.0,3.30450189949724,-5.6754699440117955,ok,3.3223573838893072,-5.540087791313841,ok,3.378082560815743,-5.124393453921149,ok,3.4920070761120674,-4.304276405994036,ok
568.0,3.6928432168017022,-5.8540939059822845,ok,3.691833218046851,-5.714904269216194,ok,3.6925577096379714,-5.2828320402607405,ok,3.7114754200963804,-4.420177122208873,ok
570.0,4.119709868246314,-5.9806176483464695,ok,4.098652721241505,-5.84267084842122,ok,4.039300317297456,-5.407637305356025,ok,3.9510746937431906,-4.519830640919382,ok
572.0,4.574358354084635,-6.044683976867585,ok,4.533668217019837,-5.913307586093748,ok,4.41313592936069,-5.490465551724415,ok,4.209582482245724,-4.59913204561628,ok
574.0,5.042668620110746,-6.03908164109641,ok,4.984420714620231,-5.919238010505703,ok,4.8062457626654,-5.523931179675294,ok,4.484774394607142,-4.653847724014759,ok
576.0,5.508392241688942,-5.961022867588565,ok,5.436090727720422,-5.856682617553195,ok,5.208400427802635,-5.502634565894177,ok,4.773279854842489,-4.679893638227281,ok
578.0,5.95493001694553,-5.8127874991094,ok,5.873015931980246,-5.726471633638216,ok,5.607663691366947,-5.424106165200474,ok,5.070527285065067,-4.673698519938906,ok
580.0,6.367256639623627,-5.6015150883944544,ok,6.280476233810191,-5.534113727941454,ok,5.991511583910224,-5.289417748137317,ok,5.37082628464303,-4.632619834536454,ok
582.0,6.7335399154408835,-5.338181082798062,ok,6.646331980595236,-5.289069309956285,ok,6.34816675285003,-5.103262334160421,ok,5.667620646191146,-4.555352307768579,ok
584.0,7.036829064636958,-4.992228335220524,ok,6.954843285738594,-4.96083876715108,ok,6.666756288685599,-4.835495828044574,ok,5.962839481624336,-4.416783098326657,ok
586.0,7.272218357140291,-4.627346491183599,ok,7.197971736557017,-4.610220191726221,ok,6.9306289285176375,-4.536041270619278,ok,6.233306979708804,-4.241754874313596,ok
588.0,7.4444230400075915,-4.26053258245467,ok,7.379051162833746,-4.254179868872308,ok,7.1386111007272035,-4.220485993924105,ok,6.472199174088557,-4.0377937859271595,ok
590.0,7.560629820032769,-3.9029543693822926,ok,7.504303631956056,-3.904289818819952,ok,7.293339050007637,-3.9008132720073716,ok,6.675448132849136,-3.81239109159219,ok
592.0,7.62922073007158,-3.5624129811943197,ok,7.581475083206969,-3.568907395260118,ok,7.399893166665583,-3.586672712757671,ok,6.841273507645825,-3.5734632924347243,ok
594.0,7.6586978095108105,-3.2437571812037636,ok,7.618710463505399,-3.2534559213173884,ok,7.464687023855085,-3.28515445339109,ok,6.970037643968231,-3.3285915423474832,ok
596.0,7.656993328515718,-2.9494825491245207,ok,7.6237907521250055,-2.960947274198705,ok,7.494552848875151,-3.000955726317837,ok,7.063848767847137,-3.084438645475229,ok
598.0,7.631104425292818,-2.6803490343261904,ok,7.603696857188204,-2.69256701890437,ok,7.496096705079049,-2.7367639001637536,ok,7.126037441100574,-2.846405714634445,ok
600.0,7.586961088723781,-2.435925203051371,ok,7.564421043846128,-2.448214150126171,ok,7.475311490885862,-2.4937124464848126,ok,7.160625399349318,-2.6185207731329183,ok
602.0,7.529441273617299,-2.2150236049943404,ok,7.510942045929328,-2.226946413638815,ok,7.437393948449674,-2.2718172213291825,ok,7.1718699668710935,-2.4035062160549097,ok
604.0,7.46246621430239,-2.0160255747872458,ok,7.447294722725541,-2.0273205505667344,ok,7.386702283060966,-2.070346473606252,ok,7.1639236665721695,-2.2029563273386272,ok
606.0,7.389130286510166,-1.837110185438013,ok,7.376684981734138,-1.847637124238291,ok,7.326798928170541,-1.8881101612622264,ok,7.140613184122453,-2.0175624595477397,ok
608.0,7.311837481841902,-1.6764073776492818,ok,7.301618566782848,-1.6861075966618744,ok,7.2605371071504194,-1.7236725459791489,ok,7.105320487346489,-1.8473405614522203,ok
610.0,7.2324292872987455,-1.5320947127032802,ok,7.224025783273665,-1.5409623374038697,ok,7.190163736538686,-1.5755002823760038,ok,7.060940427060065,-1.6918342524790193,ok
612.0,7.152297020680845,-1.4024541370737282,ok,7.145373298346759,-1.4105159988438472,ok,7.117422268302153,-1.4420602863664933,ok,7.0098892829984445,-1.5502816034624594,ok
614.0,7.07247657873342,-1.2859014946598588,ok,7.066759727686926,-1.2932033774815967,ok,7.0436468286875416,-1.3218805888218024,ok,6.954143150686847,-1.42174374122439,ok
616.0,6.993726201300314,-1.1809981681093746,ok,6.988994852092741,-1.1875956120070785,ok,6.969843973560174,-1.2135850676023838,ok,6.895290728122835,-1.3051989022622477,ok
618.0,6.918840401155953,-1.0889823177737747,ok,6.914894309168789,-1.0949527712236147,ok,6.898907508771306,-1.1185295660865326,ok,6.836413428024197,-1.2024550894495418,ok
620.0,6.8472723507931175,-1.0072105908780942,ok,6.843962081806919,-1.01262086524517,ok,6.830541759237367,-1.0340279834940964,ok,6.777907134572534,-1.1108412251704782,ok
622.0,6.777707884514702,-0.9329261399760795,ok,6.77492488745296,-0.9378279144518447,ok,6.763635888797431,-0.957255263850579,ok,6.719241861561588,-1.027433012226433,ok
624.0,6.710291430038229,-0.8653386236791625,ok,6.707946668072297,-0.8697806042066829,ok,6.698431100428094,-0.8874102366618896,ok,6.660929927608539,-0.9514539391668427,ok
626.0,6.645105855963067,-0.8037460362194933,ok,6.6431261818394285,-0.807773378617201,ok,6.635089374953127,-0.8237762084470315,ok,6.603360267113459,-0.882187475317083,ok
628.0,6.58218741222979,-0.7475255929898764,ok,6.580512618990428,-0.7511796791765455,ok,6.57371159843944,-0.7657138453716008,ok,6.546822802294855,-0.8189786896252784,ok
630.0,6.521537391128868,-0.6961250986411125,ok,6.5201178185031905,-0.6994435383012035,ok,6.5143518822169275,-0.7126538479474567,ok,6.491528573449065,-0.7612331011720314,ok
632.0,6.463131199577421,-0.6490549693981218,ok,6.461925793914271,-0.6520717398545172,ok,6.457028829100729,-0.6640898017371307,ok,6.437626190111416,-0.7084138203937042,ok
634.0,6.406925395361458,-0.6058809823152531,ok,6.405900137767241,-0.6086266477451532,ok,6.401734366068403,-0.619571427669145,ok,6.38521516631629,-0.6600377217188549,ok
636.0,6.352863126371407,-0.5662177623202516,ok,6.351989758750294,-0.5687197331975592,ok,6.348440646883091,-0.5786983490894736,ok,6.33435666133737,-0.6156711526894485,ok
638.0,6.300878319759938,-0.5297229808769013,ok,6.300133311389581,-0.5320057881641255,ok,6.297105429371608,-0.5411144236168272,ok,6.28508208657877,-0.5749255141253756,ok
640.0,6.250898894173738,-0.4960922194742498,ok,6.250262602312112,-0.49817778743053504,ok,6.2476762503853935,-0.5065026444464015,ok,6.237399973451218,-0.5374529248934968,ok
642.0,6.202849209580565,-0.46505444114344646,ok,6.202305196568866,-0.46696234895582056,ok,6.200093654984476,-0.4745805896323732,ok,6.191301433645224,-0.5029421005551548,ok
644.0,6.15665192288019,-0.43636800989958413,ok,6.156186399529148,-0.43811573659767494,ok,6.1542936828576575,-0.4450963832692805,ok,6.146764485890091,-0.47111451755999534,ok
646.0,6.112229381015554,-0.4098171987891701,ok,6.1118307519936845,-0.4114203487141435,ok,6.11020977223426,-0.4178251253860858,ok,6.1037574734675015,-0.441720896124762,ok
648.0,6.0695046546648594,-0.3852091303660402,ok,6.069163146386175,-0.38668163828413016,ok,6.067774207575194,-0.39256574503653296,ok,6.06224175455518,-0.414538009847429,ok
650.0,6.02840229315074,-0.3623710977966619,ok,6.0281096484965255,-0.36372541389150626,ok,6.026919210450572,-0.3691382316764168,ok,6.022173812376365,-0.3893658143578714,ok
652.0,5.988848863627566,-0.3411482196945715,ok,5.9885980909111725,-0.3423954753596425,ok,5.9875777517946265,-0.3473812022382133,ok,5.983506903300303,-0.366024877951652,ok
