benchmark,lambda_nm,I_wcm2,Re_eps_eff,Im_eps_eff,delta_Im_rel,status
Guillet2009_2ps_TTM,554.8511891130098,681292.0690579609,2.2210592604623254,-4.034195170830192,0.05110295435164968,ok
Guillet2009_2ps_TTM,554.8511891130098,1000000.0,2.301429308335608,-3.954509542220153,0.06984608758313818,ok
Guillet2009_2ps_TTM,554.8511891130098,1467799.2676220676,2.39931637745664,-3.853649462021995,0.09356973705252973,ok
Guillet2009_2ps_TTM,554.8511891130098,2154434.6900318824,2.513578356004333,-3.7302670252471293,0.12259094816970816,ok
Guillet2009_2ps_TTM,554.8511891130098,3162277.6601683795,2.6412874127465256,-3.5845409850197703,0.15686767579201538,ok
Guillet2009_2ps_TTM,554.8511891130098,4641588.833612773,2.7781255164356633,-3.4182668395261,0.19597759456031796,questionable
Guillet2009_2ps_TTM,554.8511891130098,6812920.690579608,2.91908672160943,-3.234645465195084,0.23916781522203553,questionable
Guillet2009_2ps_TTM,554.8511891130098,10000000.0,3.0592332753666787,-3.037860087798931,0.2854543867266011,questionable
Guillet2009_2ps_TTM,554.8511891130098,14677992.676220676,3.1942920997422224,-2.832573326123996,0.3337405983289952,questionable
Guillet2009_2ps_TTM,554.8511891130098,21544346.900318824,3.320995266651087,-2.6234581626451625,0.38292730160505467,questionable
Guillet2009_2ps_TTM,554.8511891130098,31622776.60168379,3.4371751945252633,-2.4148315204861177,0.43199909808621356,questionable
Guillet2009_2ps_TTM,554.8511891130098,46415888.33612773,3.5416823677541305,-2.21041467212701,0.4800806943588072,questionable
Guillet2009_2ps_TTM,554.8511891130098,68129206.90579608,3.634204671007754,-2.0132134607833305,0.5264650756092031,questionable
Guillet2009_2ps_TTM,554.8511891130098,100000000.0,3.7150532165400554,-1.8254946889165946,0.5706190593641401,questionable
Guillet2009_2ps_TTM,554.8511891130098,146779926.76220676,3.7849573968803076,-1.6488297428959802,0.6121730343826787,questionable
Guillet2009_2ps_TTM,554.8511891130098,215443469.00318778,3.8448916608796293,-1.4841783503619415,0.6509012597960477,questionable
Guillet2009_2ps_TTM,554.8511891130098,316227766.01683795,3.8959418246436943,-1.331990685545453,0.686697848561179,questionable
Guillet2009_2ps_TTM,554.8511891130098,464158883.3612773,3.939209764828825,-1.1923123068569264,0.7195520847262625,breakdown
Guillet2009_2ps_TTM,554.8511891130098,681292069.0579594,3.9757508632588348,-1.0648821477569488,0.74952537465799,breakdown
Guillet2009_2ps_TTM,554.8511891130098,1000000000.0,4.006537074084018,-0.9492183267240107,0.7767310633812672,breakdown
Guillet2009_2ps_TTM,554.8511891130098,1467799267.6220675,4.03243869602205,-0.8446897688005648,0.8013175882268236,breakdown
Guillet2009_2ps_TTM,554.8511891130098,2154434690.031878,4.054218951968291,-0.7505736975609573,0.8234549559459255,breakdown
Guillet2009_2ps_TTM,554.8511891130098,3162277660.1683793,4.0725367479577965,-0.6661002268389664,0.8433242541353991,breakdown
Guillet2009_2ps_TTM,554.8511891130098,4641588833.612773,4.087954200470273,-0.5904858254944243,0.8611097798737435,breakdown
Guillet2009_2ps_TTM,554.8511891130098,6812920690.579595,4.1009465507016305,-0.5229575714857609,0.8769933348365604,breakdown
Guillet2009_2ps_TTM,554.8511891130098,10000000000.0,4.111912890035349,-0.46277002236858694,0.8911502571280391,breakdown
Guillet2009_2ps_TTM,554.8511891130098,14677992676.220675,4.1211867162466875,-0.4092163234702988,0.9037468084886588,breakdown
Guillet2009_2ps_TTM,554.8511891130098,21544346900.31878,4.1290457594569325,-0.36163492593883195,0.9149385941196295,breakdown
Guillet2009_2ps_TTM,554.8511891130098,31622776601.683792,4.135720799681369,-0.31941303723771214,0.9248697510799759,breakdown
Guillet2009_2ps_TTM,554.8511891130098,46415888336.12772,4.1414033797669845,-0.2819876989078908,0.9336726947824368,breakdown
Guillet2009_2ps_TTM,554.8511891130098,68129206905.795944,4.146252428104568,-0.24884518992566781,0.941468259331718,breakdown
Guillet2009_2ps_TTM,554.8511891130098,100000000000.0,4.150399867453188,-0.21951929081234187,0.9483661058292857,breakdown
Guillet2009_2ps_TTM,554.8511891130098,146779926762.20676,4.153955316266266,-0.1935888117564152,0.9544653037923214,breakdown
Guillet2009_2ps_TTM,554.8511891130098,215443469003.18777,4.157009998903789,-0.17067468360305038,0.9598550153921845,breakdown
Guillet2009_2ps_TTM,554.8511891130098,316227766016.83795,4.15963997918132,-0.15043682926600146,0.9646152313404713,breakdown
Guillet2009_2ps_TTM,554.8511891130098,464158883361.2773,4.161908823237837,-0.13257097070083487,0.9688175219319226,breakdown
