tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,rho1,rho2,biorth1,biorth2
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,1,0.964170,0.000324,0.994786,0.006701,-1.49e-03,5.282339e-01,-8.850490e-01,-1.746215e-02,4.386245e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,2,0.959388,0.000016,0.995343,0.003626,1.03e-03,5.177795e-01,-8.882448e-01,-3.118514e-03,2.419522e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,1,0.953415,0.001606,0.962712,0.039896,-2.61e-03,4.563151e-01,8.106075e-01,-3.741598e-02,1.435331e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,2,0.958172,0.000937,0.987069,0.021504,-8.57e-03,4.490454e-01,8.173029e-01,6.046220e-03,3.000191e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,80,12,1,0.966196,0.000270,0.993479,0.007045,-5.25e-04,5.274099e-01,-8.868001e-01,-1.607801e-02,3.336001e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,80,12,2,0.962925,0.000006,0.998684,0.003967,-2.65e-03,5.166718e-01,-8.910789e-01,-7.854484e-04,2.356384e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,80,21,1,0.957015,0.001317,0.968869,0.041704,-1.06e-02,4.590163e-01,8.110978e-01,-3.219895e-02,1.674225e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,80,21,2,0.960107,0.000781,0.987646,0.020366,-8.01e-03,4.507349e-01,8.174469e-01,6.381260e-03,2.720980e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,100,12,1,0.955273,0.000012,0.998060,0.002263,-3.23e-04,5.209229e-01,-8.838435e-01,-3.415224e-03,-3.337756e-05,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,100,12,2,0.956850,0.000025,0.996822,0.003375,-1.96e-04,5.144882e-01,-8.885831e-01,-4.673984e-03,-1.709127e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,100,21,1,0.951079,0.001311,0.963160,0.040683,-3.84e-03,4.581473e-01,8.082629e-01,-3.345424e-02,1.383944e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,100,21,2,0.949430,0.000990,0.981199,0.026898,-8.10e-03,4.514307e-01,8.111114e-01,5.721215e-03,3.093200e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,120,12,1,0.941247,0.000094,1.001731,0.001571,-3.30e-03,5.240054e-01,-8.732151e-01,-9.007854e-03,3.615927e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,120,12,2,0.957829,0.000032,0.996422,0.003648,-7.04e-05,5.146966e-01,-8.890688e-01,-5.317372e-03,-1.824845e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,120,21,1,0.952024,0.001312,0.963715,0.040461,-4.18e-03,4.584350e-01,8.086301e-01,-3.363744e-02,1.342349e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,120,21,2,0.935371,0.001650,0.962612,0.048616,-1.12e-02,4.417575e-01,8.085677e-01,-2.407615e-03,4.054785e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,150,12,1,0.947283,0.000048,0.997874,0.001872,2.54e-04,5.236716e-01,-8.772145e-01,-6.744046e-03,1.648967e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,150,12,2,0.957994,0.000032,0.996571,0.003613,-1.84e-04,5.149006e-01,-8.890530e-01,-5.270395e-03,-2.072746e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,150,21,1,0.952156,0.001301,0.964172,0.039350,-3.52e-03,4.582834e-01,8.087901e-01,-3.315272e-02,1.422523e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,150,21,2,0.941437,0.001510,0.969325,0.038780,-8.10e-03,4.450073e-01,8.101886e-01,2.006827e-03,3.880393e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,200,12,1,0.953519,0.000030,0.997984,0.002157,-1.41e-04,5.227460e-01,-8.816712e-01,-5.008948e-03,2.272802e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,200,12,2,0.954634,0.000018,0.996768,0.003248,-1.62e-05,5.120825e-01,-8.885984e-01,-3.949625e-03,-1.662748e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,200,21,1,0.948653,0.001175,0.963973,0.039287,-3.26e-03,4.591679e-01,8.063194e-01,-2.892752e-02,1.838482e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,200,21,2,0.947597,0.001239,0.974889,0.028658,-3.55e-03,4.488990e-01,8.114907e-01,2.646351e-03,3.510563e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,250,12,1,0.953331,0.000049,0.998563,0.002179,-7.42e-04,5.235475e-01,-8.810782e-01,-6.276063e-03,3.075534e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,250,12,2,0.952366,0.000015,0.997061,0.002946,-6.79e-06,5.117537e-01,-8.873813e-01,-3.600349e-03,-1.553125e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,250,21,1,0.946370,0.001138,0.964101,0.039522,-3.62e-03,4.582970e-01,8.055299e-01,-2.568893e-02,2.186410e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,250,21,2,0.947363,0.001336,0.972864,0.030047,-2.91e-03,4.480529e-01,8.118274e-01,-1.071731e-03,3.653408e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,300,12,1,0.937230,0.000151,0.999701,0.001958,-1.66e-03,5.216123e-01,-8.721126e-01,-1.209650e-02,2.088945e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,300,12,2,0.953404,0.000020,0.997221,0.003163,-3.84e-04,5.123963e-01,-8.876546e-01,-4.158168e-03,-1.640678e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,300,21,1,0.947263,0.001178,0.964840,0.038878,-3.72e-03,4.581684e-01,8.061058e-01,-2.581661e-02,2.262160e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,300,21,2,0.932026,0.001915,0.955386,0.048714,-4.10e-03,4.421690e-01,8.064629e-01,-9.775308e-03,4.265874e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
