tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,C1,C2,biorth1,biorth2
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,1,0.964170,0.000324,0.005007,0.000034,9.95e-01,-3.207435e-01,9.795240e-01,-1.746228e-02,4.386017e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,2,0.959389,0.000016,0.005010,0.000018,9.95e-01,-3.098423e-01,9.803433e-01,-3.118625e-03,2.419842e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,1,0.953414,0.001606,0.004398,0.000182,9.95e-01,-2.669490e-01,-8.910921e-01,-3.741597e-02,1.435286e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,2,0.958172,0.000937,0.004509,0.000098,9.95e-01,-2.583852e-01,-8.960258e-01,6.046335e-03,3.000207e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,80,12,1,0.966197,0.000270,0.005001,0.000035,9.95e-01,-3.195547e-01,9.810510e-01,-1.607827e-02,3.335742e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,80,12,2,0.962925,0.000006,0.005027,0.000020,9.95e-01,-3.081384e-01,9.828644e-01,-7.853210e-04,2.356953e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,80,21,1,0.957014,0.001317,0.004426,0.000191,9.95e-01,-2.694764e-01,-8.921644e-01,-3.219868e-02,1.674196e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,80,21,2,0.960106,0.000781,0.004512,0.000093,9.95e-01,-2.600018e-01,-8.965375e-01,6.381567e-03,2.721014e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,100,12,1,0.955275,0.000012,0.005024,0.000011,9.95e-01,-3.138766e-01,9.767412e-01,-3.414938e-03,-3.365961e-05,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,100,12,2,0.956851,0.000025,0.005018,0.000017,9.95e-01,-3.065573e-01,9.799500e-01,-4.674375e-03,-1.708774e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,100,21,1,0.951078,0.001311,0.004400,0.000186,9.95e-01,-2.692520e-01,-8.892078e-01,-3.345399e-02,1.383889e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
