lambda_nm,Au_re_lerer,Au_im_lerer,Cu_re_lerer,Cu_im_lerer,Au_re_jc,Au_im_jc,Cu_re_jc,Cu_im_jc,cu_lerer_extrapolated
2.340000000000000000e+02,-1.426560000000001160e-01,-4.415239999999999831e+00,1.023488461538462957e+01,-7.753138461538469528e+00,-5.816775862068965797e-01,-3.967986206896551682e+00,-1.656689655172413733e+00,-4.503637931034482733e+00,1.000000000000000000e+00
2.360000000000000000e+02,-1.885589999999996991e-01,-4.477040000000000575e+00,1.012280769230771682e+01,-7.741630769230766873e+00,-6.044017241379310290e-01,-4.024124137931034184e+00,-1.625793103448275767e+00,-4.574258620689654720e+00,1.000000000000000000e+00
2.380000000000000000e+02,-2.321549999999996672e-01,-4.542148000000000074e+00,1.001073076923076144e+01,-7.730123076923064218e+00,-6.377800000000002356e-01,-4.072721818181817888e+00,-1.581309090909090553e+00,-4.647169090909090805e+00,1.000000000000000000e+00
2.400000000000000000e+02,-2.761849999999999028e-01,-4.601471999999999341e+00,9.898653846153862901e+00,-7.718615384615389985e+00,-6.841800000000002324e-01,-4.112103636363636738e+00,-1.520218181818181691e+00,-4.722878181818182419e+00,1.000000000000000000e+00
2.420000000000000000e+02,-3.178240000000003285e-01,-4.664159999999999862e+00,9.786576923076921730e+00,-7.707107692307687330e+00,-7.305800000000001182e-01,-4.151485454545454701e+00,-1.459127272727272606e+00,-4.798587272727273145e+00,1.000000000000000000e+00
2.440000000000000000e+02,-3.661630000000002383e-01,-4.726884000000000974e+00,9.674500000000008981e+00,-7.695599999999998886e+00,-7.766125000000001499e-01,-4.201624999999999943e+00,-1.410481250000000131e+00,-4.835321874999999991e+00,1.000000000000000000e+00
2.460000000000000000e+02,-4.213279999999994807e-01,-4.789553999999999867e+00,9.562423076923067811e+00,-7.684092307692310442e+00,-8.224875000000001490e-01,-4.256375000000000242e+00,-1.367168750000000044e+00,-4.855353125000000603e+00,1.000000000000000000e+00
2.480000000000000000e+02,-4.742399999999999949e-01,-4.855647999999999520e+00,9.450346153846169273e+00,-7.672584615384621998e+00,-8.683624999999999261e-01,-4.311124999999999652e+00,-1.323856249999999957e+00,-4.875384374999999437e+00,1.000000000000000000e+00
2.500000000000000000e+02,-5.474039999999997796e-01,-4.933519999999999683e+00,9.338269230769256524e+00,-7.661076923076933554e+00,-9.223000000000000087e-01,-4.363352459016393681e+00,-1.259708196721311513e+00,-4.889367213114753419e+00,1.000000000000000000e+00
2.520000000000000000e+02,-6.250810000000002198e-01,-5.014560000000000350e+00,9.226192307692301142e+00,-7.649569230769230899e+00,-9.843000000000001748e-01,-4.413057377049179664e+00,-1.174724590163934268e+00,-4.897301639344261659e+00,1.000000000000000000e+00
2.540000000000000000e+02,-6.877850000000003128e-01,-5.093688000000000216e+00,9.114115384615402604e+00,-7.638061538461542455e+00,-1.046300000000000230e+00,-4.462762295081967423e+00,-1.089740983606557245e+00,-4.905236065573770787e+00,1.000000000000000000e+00
2.560000000000000000e+02,-7.380669999999995845e-01,-5.167644000000000126e+00,9.002038461538475644e+00,-7.626553846153854010e+00,-1.102013846153846233e+00,-4.522250769230769407e+00,-1.019239999999999924e+00,-4.890076923076923876e+00,1.000000000000000000e+00
2.580000000000000000e+02,-7.860160000000004921e-01,-5.245470000000000077e+00,8.889961538461548685e+00,-7.615046153846165566e+00,-1.150044615384615110e+00,-4.593696923076922900e+00,-9.664399999999999658e-01,-4.846692307692308077e+00,1.000000000000000000e+00
2.600000000000000000e+02,-7.927919999999999412e-01,-5.336805999999999273e+00,8.777884615384621725e+00,-7.603538461538462911e+00,-1.198075384615384209e+00,-4.665143076923075505e+00,-9.136400000000004518e-01,-4.803307692307692278e+00,1.000000000000000000e+00
2.620000000000000000e+02,-7.929599999999998872e-01,-5.429408000000000456e+00,8.665807692307694765e+00,-7.592030769230760257e+00,-1.242521917808218745e+00,-4.736217808219176817e+00,-8.608958904109594856e-01,-4.772358904109589517e+00,1.000000000000000000e+00
2.640000000000000000e+02,-7.930160000000001652e-01,-5.522789999999999644e+00,8.553730769230767805e+00,-7.580523076923071812e+00,-1.272631506849314809e+00,-4.805806849315067630e+00,-8.083753424657535991e-01,-4.791153424657534465e+00,1.000000000000000000e+00
2.660000000000000000e+02,-7.804480000000002526e-01,-5.631336000000000119e+00,8.441653846153855056e+00,-7.569015384615383368e+00,-1.302741095890411094e+00,-4.875395890410958444e+00,-7.558547945205478236e-01,-4.809947945205479414e+00,1.000000000000000000e+00
2.680000000000000000e+02,-7.706649999999997114e-01,-5.737248000000000125e+00,8.329576923076942307e+00,-7.557507692307694924e+00,-1.332850684931507157e+00,-4.944984931506850145e+00,-7.033342465753420480e-01,-4.828742465753425250e+00,1.000000000000000000e+00
2.700000000000000000e+02,-7.637750000000003148e-01,-5.840448000000000306e+00,8.217500000000015348e+00,-7.545999999999992269e+00,-1.349470833333333175e+00,-5.023065277777778448e+00,-6.641166666666663554e-01,-4.832479166666666437e+00,1.000000000000000000e+00
2.720000000000000000e+02,-7.456320000000000725e-01,-5.934824000000000765e+00,8.105423076923088388e+00,-7.534492307692303825e+00,-1.355054166666666671e+00,-5.108093055555555040e+00,-6.357833333333332559e-01,-4.823895833333333272e+00,1.000000000000000000e+00
2.740000000000000000e+02,-7.271110000000002849e-01,-6.029880000000000351e+00,7.993346153846161428e+00,-7.522984615384601170e+00,-1.360637499999999944e+00,-5.193120833333333408e+00,-6.074500000000001565e-01,-4.815312500000000107e+00,1.000000000000000000e+00
2.760000000000000000e+02,-7.115150000000003416e-01,-6.121908000000000349e+00,7.881269230769234468e+00,-7.511476923076912726e+00,-1.366220833333333440e+00,-5.278148611111110000e+00,-5.791166666666670571e-01,-4.806729166666666941e+00,1.000000000000000000e+00
2.780000000000000000e+02,-7.018729999999999691e-01,-6.200063999999999353e+00,7.769192307692307509e+00,-7.499969230769224282e+00,-1.358671084337349511e+00,-5.331044578313252735e+00,-5.746096385542168727e-01,-4.790138554216867739e+00,1.000000000000000000e+00
2.800000000000000000e+02,-6.924450000000001992e-01,-6.285788000000000153e+00,7.657115384615394760e+00,-7.488461538461535838e+00,-1.350430120481927787e+00,-5.382249397590362250e+00,-5.713566265060241456e-01,-4.773126506024096827e+00,1.000000000000000000e+00
2.820000000000000000e+02,-6.824429999999992447e-01,-6.364924000000000248e+00,7.545038461538467800e+00,-7.476953846153833183e+00,-1.342189156626506064e+00,-5.433454216867470876e+00,-5.681036144578313074e-01,-4.756114457831325026e+00,1.000000000000000000e+00
2.840000000000000000e+02,-6.506949999999993572e-01,-6.445631999999999806e+00,7.432961538461555051e+00,-7.465446153846144739e+00,-1.333948192771084340e+00,-5.484659036144578614e+00,-5.648506024096385802e-01,-4.739102409638554114e+00,1.000000000000000000e+00
2.860000000000000000e+02,-6.147199999999997111e-01,-6.523278000000000354e+00,7.320884615384628091e+00,-7.453938461538456295e+00,-1.327199999999999935e+00,-5.515200000000000102e+00,-5.814200000000002699e-01,-4.716099999999999071e+00,1.000000000000000000e+00
2.880000000000000000e+02,-5.820799999999994867e-01,-6.604722000000000648e+00,7.208807692307701132e+00,-7.442430769230767851e+00,-1.320824999999999916e+00,-5.540575000000000472e+00,-6.029450000000002863e-01,-4.691599999999999326e+00,1.000000000000000000e+00
2.900000000000000000e+02,-5.627159999999995499e-01,-6.663999999999999702e+00,7.096730769230774172e+00,-7.430923076923065196e+00,-1.314449999999999896e+00,-5.565950000000000841e+00,-6.244700000000003026e-01,-4.667099999999999582e+00,1.000000000000000000e+00
2.920000000000000000e+02,-5.466810000000004166e-01,-6.719680000000000319e+00,6.984653846153847212e+00,-7.419415384615376752e+00,-1.308075000000000099e+00,-5.591325000000000323e+00,-6.459950000000002079e-01,-4.642599999999999838e+00,1.000000000000000000e+00
2.940000000000000000e+02,-5.304959999999994125e-01,-6.775559999999999583e+00,6.872576923076920252e+00,-7.407907692307688308e+00,-1.291854117647058597e+00,-5.631016470588235734e+00,-6.895847058823534326e-01,-4.649652941176470655e+00,1.000000000000000000e+00
2.960000000000000000e+02,-5.103239999999997778e-01,-6.828079999999999927e+00,6.760500000000007503e+00,-7.396399999999999864e+00,-1.273171764705882225e+00,-5.674287058823530572e+00,-7.386905882352945429e-01,-4.664594117647058447e+00,1.000000000000000000e+00
2.980000000000000000e+02,-4.746239999999999348e-01,-6.866439999999999877e+00,6.648423076923094754e+00,-7.384892307692311419e+00,-1.254489411764705631e+00,-5.717557647058824521e+00,-7.877964705882357643e-01,-4.679535294117647126e+00,1.000000000000000000e+00
3.000000000000000000e+02,-4.425609999999999822e-01,-6.908400000000000318e+00,6.536346153846167795e+00,-7.373384615384622975e+00,-1.235807058823529259e+00,-5.760828235294118471e+00,-8.369023529411770967e-01,-4.694476470588234918e+00,1.000000000000000000e+00
3.020000000000000000e+02,-4.064610000000001833e-01,-6.946780000000000399e+00,6.424269230769240835e+00,-7.361876923076906110e+00,-1.229094897959183808e+00,-5.781680612244898043e+00,-8.843673469387760555e-01,-4.709146938775510272e+00,1.000000000000000000e+00
3.040000000000000000e+02,-3.883360000000002366e-01,-6.965969999999999551e+00,6.312192307692313875e+00,-7.350369230769231876e+00,-1.232176530612244969e+00,-5.784190816326531426e+00,-9.304897959183677791e-01,-4.723595918367347934e+00,1.000000000000000000e+00
