lambda_nm,P_Au_lerer,P_Cu_lerer,P_Au_jc,P_Cu_jc,R_Au_lerer,T_Au_lerer,R_Cu_lerer,T_Cu_lerer
7.250000000000000000e+02,9.383872242164525979e-02,1.789044672943531644e-01,7.900434759932783990e-02,1.114407622837383371e-01,1.497573877760758898e-01,7.564038898022789059e-01,1.203167657222689452e-01,7.007787669833779320e-01
7.300000000000000000e+02,8.779235714175526173e-02,1.773414669155393142e-01,7.579502717711472659e-02,1.076952130986502665e-01,1.301143380402637051e-01,7.820933048179810054e-01,1.081714496344853838e-01,7.144870834499752466e-01
7.350000000000000000e+02,8.323952869341488814e-02,1.758118847152179143e-01,7.289256542223254698e-02,1.042353580830556181e-01,1.152619653738436861e-01,8.014985059327414119e-01,9.874686117490755199e-02,7.254412541098744782e-01
7.400000000000000000e+02,7.903636295697558101e-02,1.743303095248659451e-01,7.019871593654158914e-02,1.009934391748336102e-01,1.017658251996173546e-01,8.191978118434070089e-01,9.003016230063623504e-02,7.356395281744978476e-01
7.450000000000000000e+02,7.513898182014178140e-02,1.682305610312149202e-01,6.768335697665650574e-02,9.794347318728546803e-02,8.938144981436157988e-02,8.354795683654966387e-01,8.068334389359579917e-02,7.510860950751893084e-01
7.500000000000000000e+02,7.151856210097107258e-02,1.624798083227223522e-01,6.532826899152932576e-02,9.507043233486622835e-02,7.800423590500496496e-02,8.504772019940239902e-01,7.191308843260149630e-02,7.656071032446761793e-01
7.550000000000000000e+02,6.815451073889400302e-02,1.570621613335838607e-01,6.312151889328121435e-02,9.236573766410083319e-02,6.757082786920554085e-02,8.642746613919004561e-01,6.369384708928266248e-02,7.792439915771334213e-01
7.600000000000000000e+02,6.503190444886342014e-02,1.527816676379587513e-01,6.111662499240799740e-02,8.956502944865318838e-02,5.803366439318184689e-02,8.769344311579547746e-01,5.592243178209337084e-02,7.912959005799479195e-01
7.650000000000000000e+02,6.214037488329904324e-02,1.487695819988972268e-01,5.926033496687010960e-02,8.688838148865130062e-02,4.935186682393882807e-02,8.885077582927621842e-01,4.871352095122641335e-02,8.025168970498763876e-01
7.700000000000000000e+02,5.947373828332824797e-02,1.450341807721622356e-01,5.753655489071929363e-02,8.440555413722772293e-02,4.148750610987516491e-02,8.990387556067965802e-01,4.205496897704508880e-02,8.129108502507926826e-01
7.750000000000000000e+02,5.734303848930277780e-02,1.418898372424076681e-01,5.594826959811527445e-02,8.212316371338079790e-02,3.440395085838108408e-02,9.082530106523161173e-01,3.600854190546349393e-02,8.221016208521287894e-01
7.800000000000000000e+02,5.535106181882387677e-02,1.390368083022543999e-01,5.450237859840512122e-02,8.005375389788438323e-02,2.820321140471836879e-02,9.164457267764577475e-01,3.047522578688587752e-02,8.304879659108597156e-01
7.850000000000000000e+02,5.356804964696704197e-02,1.365142274050379356e-01,5.321069782172727081e-02,7.821756314894201534e-02,2.267252546926617346e-02,9.237594248837668331e-01,2.544678392135350797e-02,8.380389886736085980e-01
7.900000000000000000e+02,5.225270542065352242e-02,1.331174357156440502e-01,5.209164512084329957e-02,7.664538723563152356e-02,1.777027162715800676e-02,9.299770229521884257e-01,2.082134587739203554e-02,8.460612184069639108e-01
7.950000000000000000e+02,5.095748905811636753e-02,1.302681651660836382e-01,5.117298441566209277e-02,7.538318028262458448e-02,1.350986962210959721e-02,9.355326413197739832e-01,1.670548267198548528e-02,8.530263521619309008e-01
8.000000000000000000e+02,4.997929414477275678e-02,1.280682203328927793e-01,5.049631260254328069e-02,7.449955475697334073e-02,9.855847415928707320e-03,9.401648584392985342e-01,1.310285050279180567e-02,8.588289291643154133e-01
