theta_deg,isolated,embedded_0,embedded_1,embedded_2,embedded_3
1.65,0.999426,1.03664,1.1916,1.15973,1.12287
1.7,0.999419,1.03511,1.19209,1.15931,1.1239
1.75,0.999412,1.03358,1.19258,1.15889,1.12492
1.8,0.999405,1.03205,1.19306,1.15847,1.12592
1.85,0.999398,1.03051,1.19355,1.15805,1.12692
1.9,0.999391,1.02896,1.19403,1.15763,1.12791
1.95,0.999384,1.02741,1.19452,1.15722,1.12889
2,0.999377,1.02586,1.19501,1.15681,1.12986
2.05,0.99937,1.02431,1.19549,1.15639,1.13082
2.1,0.999363,1.02275,1.19598,1.15598,1.13178
2.15,0.999356,1.02118,1.19647,1.15557,1.13272
2.2,0.999348,1.01962,1.19695,1.15516,1.13366
2.25,0.999341,1.01805,1.19744,1.15475,1.13458
2.3,0.999334,1.01648,1.19793,1.15435,1.1355
2.35,0.999326,1.01491,1.19841,1.15394,1.13641
2.4,0.999319,1.01333,1.1989,1.15354,1.13731
2.45,0.999312,1.01175,1.19939,1.15313,1.1382
2.5,0.999304,1.01017,1.19987,1.15273,1.13908
2.55,0.999297,1.00859,1.20036,1.15233,1.13995
2.6,0.999289,1.007,1.20084,1.15193,1.14082
2.65,0.999281,1.00542,1.20133,1.15153,1.14167
2.7,0.999274,1.00383,1.20181,1.15113,1.14252
2.75,0.999266,1.00224,1.20229,1.15073,1.14336
2.8,0.999258,1.00065,1.20278,1.15034,1.14419
2.85,0.99925,0.999057,1.20326,1.14994,1.14501
2.9,0.999242,0.997465,1.20374,1.14955,1.14582
2.95,0.999234,0.995871,1.20422,1.14916,1.14663
3,0.999226,0.994277,1.2047,1.14876,1.14742
3.05,0.999218,0.992683,1.20518,1.14837,1.14821
3.1,0.999209,0.991088,1.20566,1.14798,1.14899
3.15,0.999201,0.989493,1.20614,1.14759,1.14976
3.2,0.999192,0.987899,1.20661,1.14721,1.15052
3.25,0.999184,0.986304,1.20709,1.14682,1.15128
3.3,0.999175,0.98471,1.20756,1.14643,1.15203
3.35,0.999166,0.983116,1.20803,1.14605,1.15277
3.4,0.999157,0.981523,1.2085,1.14566,1.1535
3.45,0.999148,0.979931,1.20897,1.14528,1.15422
3.5,0.999139,0.978341,1.20944,1.1449,1.15494
3.55,0.99913,0.976751,1.20991,1.14452,1.15565
3.6,0.99912,0.975162,1.21038,1.14414,1.15635
3.65,0.999111,0.973576,1.21084,1.14376,1.15704
3.7,0.999101,0.971991,1.2113,1.14338,1.15773
3.75,0.999091,0.970408,1.21176,1.143,1.15841
3.8,0.999081,0.968826,1.21222,1.14262,1.15908
3.85,0.99907,0.967247,1.21268,1.14225,1.15974
3.9,0.99906,0.965671,1.21313,1.14187,1.1604
3.95,0.999049,0.964097,1.21358,1.1415,1.16105
4,0.999039,0.962526,1.21404,1.14112,1.16169
4.05,0.999028,0.960957,1.21448,1.14075,1.16233
4.1,0.999016,0.959392,1.21493,1.14038,1.16296
4.15,0.999005,0.95783,1.21538,1.14001,1.16358
4.2,0.998993,0.956271,1.21582,1.13964,1.16419
4.25,0.998982,0.954716,1.21626,1.13927,1.1648
4.3,0.99897,0.953164,1.21669,1.1389,1.1654
4.35,0.998957,0.951616,1.21713,1.13853,1.166
4.4,0.998945,0.950073,1.21756,1.13816,1.16659
4.45,0.998932,0.948533,1.21799,1.1378,1.16717
4.5,0.998919,0.946998,1.21841,1.13743,1.16775
4.55,0.998906,0.945467,1.21884,1.13707,1.16832
4.6,0.998892,0.943941,1.21926,1.1367,1.16888
4.65,0.998878,0.942419,1.21968,1.13634,1.16944
4.7,0.998864,0.940903,1.22009,1.13597,1.16999
4.75,0.99885,0.939391,1.2205,1.13561,1.17054
4.8,0.998835,0.937885,1.22091,1.13525,1.17108
4.85,0.99882,0.936384,1.22131,1.13489,1.17162
4.9,0.998805,0.934889,1.22171,1.13453,1.17215
4.95,0.998789,0.933399,1.22211,1.13417,1.17267
5,0.998773,0.931916,1.22251,1.13381,1.17319
5.05,0.998757,0.930438,1.2229,1.13345,1.1737
5.1,0.99874,0.928966,1.22328,1.1331,1.17421
5.15,0.998723,0.927501,1.22367,1.13274,1.17472
5.2,0.998706,0.926042,1.22404,1.13238,1.17521
5.25,0.998688,0.924589,1.22442,1.13203,1.17571
5.3,0.998669,0.923144,1.22479,1.13167,1.1762
5.35,0.998651,0.921705,1.22516,1.13132,1.17668
5.4,0.998632,0.920272,1.22552,1.13097,1.17716
5.45,0.998612,0.918847,1.22588,1.13061,1.17763
5.5,0.998592,0.91743,1.22623,1.13026,1.1781
5.55,0.998572,0.916019,1.22658,1.12991,1.17856
5.6,0.998551,0.914616,1.22693,1.12956,1.17902
5.65,0.99853,0.913221,1.22727,1.12921,1.17948
5.7,0.998508,0.911833,1.2276,1.12886,1.17993
5.75,0.998486,0.910453,1.22794,1.12851,1.18038
5.8,0.998463,0.909081,1.22826,1.12816,1.18082
5.85,0.99844,0.907717,1.22858,1.12781,1.18126
5.9,0.998416,0.906361,1.2289,1.12746,1.1817
5.95,0.998391,0.905014,1.22921,1.12712,1.18213
6,0.998367,0.903674,1.22952,1.12677,1.18256
6.05,0.998341,0.902344,1.22982,1.12642,1.18298
6.1,0.998315,0.901022,1.23011,1.12608,1.1834
6.15,0.998288,0.899708,1.2304,1.12573,1.18382
6.2,0.998261,0.898404,1.23069,1.12539,1.18423
6.25,0.998233,0.897108,1.23097,1.12505,1.18464
6.3,0.998205,0.895822,1.23124,1.1247,1.18504
6.35,0.998176,0.894544,1.23151,1.12436,1.18545
