lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
390.0,0.06189789467139498,0.20223968816166127,0.7358624171669438,350.0,0.05936029848928521,0.1312164162185501,0.8094232852921647
395.0,0.0628307725920164,0.2031287985391881,0.7340404288687955,355.0,0.05995852248577609,0.1311804739151479,0.8088610035990761
400.0,0.06408843541635424,0.20386449268964862,0.7320470718939971,360.0,0.06081337681936403,0.129831665285834,0.8093549578948019
405.0,0.06549175701935485,0.20604262385011485,0.7284656191305303,365.0,0.061964718130994585,0.12776440718457494,0.8102708746844305
410.0,0.06719356884047141,0.2081968610914801,0.7246095700680484,370.0,0.06257093114406996,0.12747360869992239,0.8099554601560076
415.0,0.06911580548381627,0.21038938980204633,0.7204948047141374,375.0,0.06336004356941072,0.1259293064668642,0.8107106499637251
420.0,0.0710768981593974,0.21430163276894004,0.7146214690716626,380.0,0.06431384045686199,0.12429255646137134,0.8113936030817667
425.0,0.07308437686970165,0.2183658513316184,0.70854977179868,385.0,0.06536088804011345,0.12369349305476443,0.8109456189051222
430.0,0.07503576061189556,0.22256837449814423,0.7023958648899602,390.0,0.06652344696928343,0.12356256460570682,0.8099139884250097
435.0,0.07684731146219637,0.22688111467171168,0.696271573866092,395.0,0.06782313379019926,0.12346504088761695,0.8087118253221839
440.0,0.07827708192180885,0.22889819011330678,0.6928247279648844,400.0,0.06937148958734121,0.12211088622373495,0.8085176241889238
445.0,0.07937336550444674,0.23092785665909435,0.6896987778364589,405.0,0.07114249542385925,0.11964896977043178,0.8092085348057089
450.0,0.07974025702307976,0.23268791223176974,0.6875718307451505,410.0,0.0729949165921421,0.11731233707764416,0.8096927463302137
455.0,0.07962806141173417,0.23368826025117587,0.68668367833709,415.0,0.07490072011871877,0.11525529637227332,0.809843983509008
460.0,0.07903995537836445,0.2348016856510216,0.686158358970614,420.0,0.07683442948943373,0.11363313639340224,0.809532434117164
465.0,0.07798657782719497,0.23606762473702325,0.6859457974357818,425.0,0.07878693957282766,0.11218076546892053,0.8090322949582518
470.0,0.07622429689518263,0.2360080760427758,0.6877676270620416,430.0,0.08074528537651898,0.11090355547000887,0.8083511591534722
475.0,0.07397169644118393,0.23617944730294407,0.689848856255872,435.0,0.08253097841180405,0.11111207751536956,0.8063569440728264
480.0,0.07092612350405363,0.22788389907878379,0.7011899774171626,440.0,0.08428462815609829,0.11159069408886788,0.8041246777550338
