I_wcm2,lambda_nm,R,T,P,branchA_status
5000000.0,625.0,0.23779168030059453,0.34801429397066136,0.41419402572874414,ok
5000000.0,630.0,0.24454304440004057,0.38923135686786126,0.36622559873209815,ok
5000000.0,635.0,0.244448794385606,0.4281697437657733,0.3273814618486207,ok
5000000.0,640.0,0.23949345110142786,0.46482112950066184,0.2956854193979103,ok
5000000.0,645.0,0.23358348308297852,0.4980837924936815,0.26833272442334,ok
5000000.0,650.0,0.23169315577412955,0.5260298836700578,0.24227696055581271,ok
5000000.0,655.0,0.2365214991708553,0.5477433414980312,0.21573515933111354,ok
5000000.0,660.0,0.24557940134229053,0.5645028779242477,0.1899177207334618,ok
5000000.0,665.0,0.25265931593028085,0.5763010542169511,0.1710396298527681,ok
5000000.0,670.0,0.25555210369763975,0.5896449141722712,0.15480298213008903,ok
5000000.0,675.0,0.2539806870040285,0.6047946852302903,0.14122462776568123,ok
5000000.0,680.0,0.24877115092335975,0.6213489200800393,0.12987992899660095,ok
5000000.0,685.0,0.2409185519421492,0.6387920772135133,0.12028937084433755,ok
5000000.0,690.0,0.23126093900172082,0.6566848165521398,0.11205424444613932,ok
5000000.0,695.0,0.22043343206851107,0.6746919228749864,0.10487464505650257,ok
5000000.0,700.0,0.20890560743081316,0.6925618045094409,0.09853258805974596,ok
5000000.0,705.0,0.19697944402947765,0.710045875128808,0.09297468084171434,ok
5000000.0,710.0,0.18457831020598534,0.7265613642535006,0.08886032554051404,ok
5000000.0,715.0,0.17245707812166067,0.7423929873693677,0.08514993450897168,ok
5000000.0,720.0,0.16095111434392212,0.7572147454393738,0.08183414021670399,ok
5000000.0,725.0,0.15259587487771473,0.7679642833030591,0.07943984181922614,ok
5000000.0,730.0,0.13477305788436938,0.7890440673702449,0.07618287474538576,ok
5000000.0,735.0,0.12057151855644595,0.8061890977954517,0.07323938364810234,ok
5000000.0,740.0,0.10759308532443926,0.821897095278078,0.0705098193974828,ok
5000000.0,745.0,0.09559184241806007,0.8364449368903919,0.06796322069154803,ok
5000000.0,750.0,0.08446710597979556,0.8499521868457892,0.06558070717441522,ok
