lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
360.0,0.05114904333107892,0.23051993603572563,0.7183310206331954,360.0,0.052313183384060484,0.19891816340896412,0.7487686532069755
365.0,0.05111072942514152,0.2310741261396872,0.7178151444351712,365.0,0.0525895330263196,0.19772390370549905,0.7496865632681813
370.0,0.0510620328116953,0.23230254310990897,0.7166354240783958,370.0,0.05285529048343602,0.19657192507699708,0.7505727844395669
375.0,0.05117449821408537,0.23281752607978676,0.7160079757061278,375.0,0.053270171189503904,0.19408126179837756,0.7526485670121185
380.0,0.05142254110412431,0.23314323517924967,0.715434223716626,380.0,0.05378801589645069,0.19156442645895772,0.7546475576445917
385.0,0.051699006380864505,0.2356077041374148,0.7126932894817206,385.0,0.0543403949190209,0.19031043547466847,0.7553491696063106
390.0,0.052060920370981624,0.23896434777485673,0.7089747318541616,390.0,0.05494522801084659,0.1896493346469014,0.7554054373422521
395.0,0.052538632949521054,0.24228063731706026,0.7051807297334186,395.0,0.0556166187965569,0.18907008402901898,0.7553132971744241
400.0,0.05308343695927284,0.24544057444948983,0.7014759885912373,400.0,0.056434274897466725,0.18707186991007038,0.7564938551924628
405.0,0.05367202288064996,0.2484693372190445,0.6978586399003055,405.0,0.057379730965499025,0.18380692894754538,0.7588133400869557
410.0,0.05430219278267608,0.2515126294505928,0.6941851777667312,410.0,0.05835440947000934,0.18069054007163932,0.7609550504583513
415.0,0.05493018023760316,0.25490298213896995,0.6901668376234269,415.0,0.05934273857713168,0.17789641072113346,0.7627608507017348
420.0,0.05551986010796025,0.2589577564850187,0.685522383407021,420.0,0.060328359715696646,0.1756032889178825,0.7640683513664209
425.0,0.05609269562651415,0.263028905629807,0.6808783987436788,425.0,0.061304404644049106,0.17350177564777036,0.7651938197081806
430.0,0.056632073534695494,0.2670999084543648,0.6762680180109397,430.0,0.062259161255969586,0.1715953274453302,0.7661455112987002
435.0,0.056988208607659914,0.2700241691937422,0.6729876221985978,435.0,0.06304759483117728,0.17143873728934236,0.7655136678794804
440.0,0.05723013377487473,0.272810333426999,0.6699595327981263,440.0,0.06377253037589914,0.17158745640998793,0.7646400132141129
445.0,0.05734869253873867,0.2755719745983446,0.6670793328629168,445.0,0.0644318069914347,0.1718630943200203,0.763705098688545
450.0,0.057318363201267236,0.2783005445253232,0.6643810922734095,450.0,0.0650049553620319,0.17226238918831657,0.7627326554496515
455.0,0.057047573953119164,0.28248781365837344,0.6604646123885074,455.0,0.06542780719982864,0.17366690606585933,0.760905286734312
460.0,0.056549295986360396,0.2870757031934851,0.6563750008201545,460.0,0.0656976523612698,0.17537895172404935,0.7589233959146808
465.0,0.05579313416737405,0.29175226210970245,0.6524546037229235,465.0,0.06577697843682473,0.17719434867107817,0.7570286728920971
470.0,0.054720741091762955,0.29652528974191017,0.6487539691663269,470.0,0.06560018964780193,0.17910077554679457,0.7552990348054035
475.0,0.0529306057590945,0.29552773931618315,0.6515416549247224,475.0,0.06504139630654233,0.1797804053731201,0.7551781983203375
480.0,0.05043996752342499,0.2921340781667909,0.6574259543097842,480.0,0.06395800611562154,0.179939696969099,0.7561022969152795
485.0,0.047157465589023805,0.28860246233552594,0.6642400720754502,485.0,0.062081397473625795,0.18004331255525827,0.7578752899711159
490.0,0.04264298586733621,0.2849329360770529,0.672424078055611,490.0,0.05883398825007846,0.1800338488414106,0.7611321629085109
495.0,0.035631202675677424,0.2810911789152775,0.683277618409045,495.0,0.05261881799774507,0.17977175473724158,0.7676094272650134
500.0,0.010491671512634873,0.2616380924323811,0.727870236054984,500.0,0.024456509757503856,0.17777314147374862,0.7977703487687475
505.0,0.010336639883935269,0.23700521930298318,0.7526581408130815,505.0,0.024581671652212214,0.17861194222943133,0.7968063861183564
510.0,0.010117168612721886,0.2122691916316779,0.7776136397556002,510.0,0.024390582823132653,0.18021664519854103,0.7953927719783263
515.0,0.010207477361000923,0.18580881429527438,0.8039837083437247,515.0,0.024156622143725923,0.18159975318994015,0.7942436246663339
520.0,0.010950699523741518,0.15785687808797513,0.8311924223882834,520.0,0.02383824724624403,0.18342473043181898,0.792737022321937
525.0,0.013350253086293479,0.12807565431368054,0.858574092600026,525.0,0.02335005134393733,0.18114725913767465,0.7955026895183881
530.0,0.01734739944065078,0.10003473658478623,0.882617863974563,530.0,0.02280587569829101,0.1777887557146807,0.7994053685870284
535.0,0.02315168917456195,0.07517593690202823,0.9016723739234098,535.0,0.022252354217046827,0.17422946073315557,0.8035181850497976
540.0,0.030859127993725408,0.054392090672504674,0.9147487813337699,540.0,0.02171207841484243,0.17045714137124415,0.8078307802139134
545.0,0.040147987108557215,0.0381405696812447,0.921711443210198,545.0,0.021206934719855672,0.1664573486410872,0.8123357166390571
550.0,0.04998150316232928,0.02650087737097566,0.9235176194666951,550.0,0.02097392726641939,0.16053809752271533,0.8184879752108654
555.0,0.05854008720764798,0.019112321859978184,0.9223475909323738,555.0,0.021449411322806124,0.1501245804063558,0.8284260082708381
560.0,0.06469244394170513,0.014819958408388314,0.9204875976499065,560.0,0.022140489989159486,0.13963465654622695,0.8382248534646135
565.0,0.06715500271415555,0.013085968642965962,0.9197590286428785,565.0,0.02306463586140657,0.12917019095393037,0.847765173184663
570.0,0.06530700076858215,0.013856620822016028,0.9208363784094019,570.0,0.024234099262820875,0.11885192542814324,0.8569139753090359
575.0,0.059760337910134936,0.017897020233084274,0.9223426418567808,575.0,0.025653355776672302,0.10881837080435923,0.8655282734189685
580.0,0.052441908426035126,0.027139960898805073,0.9204181306751598,580.0,0.02731526115159003,0.09922438509105085,0.8734603537573592
585.0,0.04542550630728708,0.04603812420184507,0.9085363694908679,585.0,0.030194908006593885,0.08937563135437526,0.8804294606390308
590.0,0.041216169523652424,0.07808102758679035,0.8807028028895573,590.0,0.03343020125291508,0.08431648270147764,0.8822533160456073
595.0,0.041173014192481434,0.12240928870334536,0.8364176971041732,595.0,0.035836688191131685,0.0873362801502315,0.8768270316586367
600.0,0.045079776599813944,0.17559090437162395,0.7793293190285621,600.0,0.0375030169192964,0.10092762180070923,0.8615693612799944
605.0,0.05087753529252554,0.23423004030321398,0.7148924244042605,605.0,0.03917615468304752,0.128606212532389,0.8322176327845635
610.0,0.055729751041730446,0.2961052822697166,0.648164966688553,610.0,0.041917131641348374,0.17388586668932296,0.7841970016693287
615.0,0.05797137374116023,0.3575409863771389,0.5844876398817009,615.0,0.046169811354318066,0.2382021481672503,0.7156280404784316
620.0,0.05837965313069383,0.41187986109870034,0.5297404857706058,620.0,0.04868515615833728,0.3050072940411133,0.6463075498005495
