design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
improved,MG,480,2.941474,0.967668,0.000346,0.000000,0.999654
improved,MG,490,2.772457,1.041361,0.000029,0.000000,0.999971
improved,MG,500,2.575719,1.166158,0.000088,0.000000,0.999912
improved,MG,510,2.333672,1.432955,0.000552,0.000000,0.999448
improved,MG,520,2.028343,1.878739,0.001806,0.000000,0.998194
improved,MG,530,1.835976,2.786649,0.004423,0.000000,0.995577
improved,MG,540,2.117461,4.402861,0.007488,0.000000,0.992512
improved,MG,550,3.621874,5.587037,0.006662,0.000000,0.993338
improved,MG,560,5.977617,5.444745,0.005155,0.000000,0.994845
improved,MG,570,6.964920,4.734642,0.004357,0.000000,0.995643
improved,MG,580,7.337936,4.354630,0.003709,0.000000,0.996291
improved,MG,590,7.639865,3.916424,0.003020,0.000000,0.996980
improved,MG,600,7.848218,3.471011,0.002274,0.000000,0.997726
improved,MG,610,7.971268,3.026829,0.001512,0.000000,0.998488
improved,MG,620,8.003862,2.596588,0.000866,0.000000,0.999134
improved,MG,630,7.992744,2.206188,0.000547,0.000000,0.999453
improved,MG,640,7.935589,1.853546,0.000485,0.000000,0.999515
improved,MG,650,7.838438,1.534721,0.000339,0.000000,0.999661
improved,MG,660,7.059088,0.900388,0.005021,0.000000,0.994979
improved,MG,670,6.389541,0.536460,0.020407,0.000001,0.979592
improved,MG,680,5.947555,0.350217,0.017451,0.000040,0.982509
improved,MG,690,5.644487,0.247951,0.006608,0.000341,0.993051
improved,MG,700,5.463574,0.197647,0.004258,0.000946,0.994796
improved,MG,710,5.317655,0.161118,0.010359,0.001874,0.987767
improved,MG,720,5.198554,0.133951,0.017945,0.003174,0.978881
improved,MG,730,5.099700,0.113197,0.056048,0.004361,0.939590
improved,MG,740,5.028634,0.099988,0.127186,0.005231,0.867583
improved,MG,750,4.966271,0.088996,0.003667,0.007603,0.988730
improved,Bruggeman,400,3.262711,0.789729,0.012549,0.000000,0.987451
improved,Bruggeman,410,3.256092,0.794313,0.010268,0.000000,0.989732
improved,Bruggeman,420,3.247505,0.794740,0.008306,0.000000,0.991694
improved,Bruggeman,430,3.235296,0.793064,0.006594,0.000000,0.993406
improved,Bruggeman,440,3.213091,0.791520,0.005016,0.000000,0.994984
