lambda_nm,I_wcm2,P_lin,P_dec,P_sc,dP_dec,dP_sc,ratio_cyl_lin,ratio_film_lin,ratio_cyl_sc,ratio_film_sc,Re_eps_cyl_sc,Im_eps_cyl_sc,Re_eps_film_sc,Im_eps_film_sc,Re_eps_dec,Im_eps_dec,iterations,converged
500,1.000e+06,0.726815,0.726791,0.726801,-0.000024,-0.000014,1.00962,0.42053,1.00941,0.42048,2.72495,1.10387,2.72364,1.10375,2.72493,1.10387,11,1
500,5.000e+06,0.726815,0.726685,0.726740,-0.000130,-0.000076,1.00962,0.42053,1.00861,0.42029,2.73379,1.10470,2.72737,1.10410,2.73370,1.10469,13,1
500,2.000e+07,0.726815,0.726185,0.726462,-0.000630,-0.000353,1.00962,0.42053,1.00599,0.41967,2.76501,1.10714,2.74097,1.10532,2.76478,1.10713,15,1
510,1.000e+06,0.777580,0.777495,0.777534,-0.000085,-0.000046,0.99384,0.37017,0.99343,0.37013,2.49503,1.28550,2.49240,1.28525,2.49506,1.28550,12,1
510,5.000e+06,0.777580,0.777142,0.777344,-0.000438,-0.000236,0.99384,0.37017,0.99190,0.36998,2.51138,1.28691,2.49862,1.28582,2.51155,1.28692,14,1
510,2.000e+07,0.777580,0.775663,0.776554,-0.001917,-0.001026,0.99384,0.37017,0.98718,0.36959,2.56705,1.29041,2.52109,1.28766,2.56795,1.29045,16,1
520,1.000e+06,0.831137,0.830913,0.831057,-0.000225,-0.000081,0.95160,0.31375,0.95088,0.31375,2.17966,1.53865,2.17390,1.53816,2.18010,1.53868,13,1
520,5.000e+06,0.831137,0.829999,0.830713,-0.001139,-0.000424,0.95160,0.31375,0.94825,0.31379,2.21251,1.54111,2.18518,1.53910,2.21467,1.54125,15,1
520,2.000e+07,0.831137,0.826476,0.829231,-0.004661,-0.001907,0.95160,0.31375,0.94099,0.31424,2.31725,1.54508,2.22524,1.54190,2.32503,1.54514,17,1
530,1.000e+06,0.882608,0.882067,0.882517,-0.000541,-0.000091,0.86021,0.23534,0.85989,0.23565,1.96188,1.97373,1.95071,1.97437,1.96435,1.97358,14,1
