lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,2000,100,710,0.996854
0.20,2000,100,720,0.972332
0.20,2000,100,730,0.959982
0.20,2000,100,740,0.931071
0.20,2000,100,750,0.958928
0.20,2000,125,400,0.986693
0.20,2000,125,410,0.989067
0.20,2000,125,420,0.991148
0.20,2000,125,430,0.992984
0.20,2000,125,440,0.994691
0.20,2000,125,450,0.996344
0.20,2000,125,460,0.997795
0.20,2000,125,470,0.998928
0.20,2000,125,480,0.999654
0.20,2000,125,490,0.999971
0.20,2000,125,500,0.999912
0.20,2000,125,510,0.999448
0.20,2000,125,520,0.998194
0.20,2000,125,530,0.995577
0.20,2000,125,540,0.992512
0.20,2000,125,550,0.993338
0.20,2000,125,560,0.994845
0.20,2000,125,570,0.995643
0.20,2000,125,580,0.996291
0.20,2000,125,590,0.996980
0.20,2000,125,600,0.997726
0.20,2000,125,610,0.998488
0.20,2000,125,620,0.999134
0.20,2000,125,630,0.999453
0.20,2000,125,640,0.999515
0.20,2000,125,650,0.999661
0.20,2000,125,660,0.994979
0.20,2000,125,670,0.979588
0.20,2000,125,680,0.982819
0.20,2000,125,690,0.994839
0.20,2000,125,700,0.999058
0.20,2000,125,710,0.996375
0.20,2000,125,720,0.968805
0.20,2000,125,730,0.969189
0.20,2000,125,740,0.916952
0.20,2000,125,750,0.975707
0.20,2000,150,400,0.986693
0.20,2000,150,410,0.989067
0.20,2000,150,420,0.991148
0.20,2000,150,430,0.992984
0.20,2000,150,440,0.994691
0.20,2000,150,450,0.996344
0.20,2000,150,460,0.997795
0.20,2000,150,470,0.998928
0.20,2000,150,480,0.999654
0.20,2000,150,490,0.999971
0.20,2000,150,500,0.999912
0.20,2000,150,510,0.999448
0.20,2000,150,520,0.998194
0.20,2000,150,530,0.995577
0.20,2000,150,540,0.992512
0.20,2000,150,550,0.993338
0.20,2000,150,560,0.994845
0.20,2000,150,570,0.995643
0.20,2000,150,580,0.996291
0.20,2000,150,590,0.996980
0.20,2000,150,600,0.997726
0.20,2000,150,610,0.998488
0.20,2000,150,620,0.999134
0.20,2000,150,630,0.999453
0.20,2000,150,640,0.999515
0.20,2000,150,650,0.999661
