metal,table,nG,lambda_nm,Re_eps_metal,Im_eps_metal,Re_eps_eff,Im_eps_eff,R,T,A,R_dB
Cu,jc,221,495.0,-5.067961,6.254411,3.623298,1.545101,0.0032545,0.0000000,0.9967454,-24.875
Cu,jc,221,500.0,-5.138770,6.239587,3.634674,1.559017,0.0034601,0.0000000,0.9965399,-24.609
Cu,jc,221,505.0,-5.203490,6.219327,3.644383,1.573030,0.0037118,0.0000000,0.9962882,-24.304
Cu,jc,221,510.0,-5.268210,6.199067,3.654447,1.587049,0.0040059,0.0000000,0.9959941,-23.973
Cu,jc,221,515.0,-5.332930,6.178807,3.664872,1.601064,0.0043403,0.0000000,0.9956596,-23.625
Cu,jc,221,520.0,-5.397650,6.158547,3.675664,1.615066,0.0047127,0.0000000,0.9952873,-23.267
Cu,jc,221,525.0,-5.437600,6.022013,3.663740,1.651303,0.0051800,0.0000000,0.9948200,-22.857
Cu,jc,221,530.0,-5.472113,5.859955,3.645762,1.694356,0.0056942,0.0000000,0.9943058,-22.446
Cu,jc,221,535.0,-5.506626,5.697897,3.626561,1.739688,0.0062396,0.0000000,0.9937604,-22.048
Cu,jc,221,540.0,-5.541138,5.535839,3.606015,1.787483,0.0068143,0.0000000,0.9931857,-21.666
Cu,jc,221,545.0,-5.575651,5.373782,3.583982,1.837946,0.0074168,0.0000000,0.9925832,-21.298
Cu,jc,221,550.0,-5.651531,5.195604,3.569110,1.904892,0.0080633,0.0000000,0.9919367,-20.935
Cu,jc,221,555.0,-5.833785,4.975978,3.579567,2.014344,0.0087891,0.0000000,0.9912109,-20.561
Cu,jc,221,560.0,-6.016039,4.756351,3.596376,2.134831,0.0095569,0.0000000,0.9904431,-20.197
Cu,jc,221,565.0,-6.198292,4.536724,3.621468,2.267662,0.0103670,0.0000000,0.9896330,-19.843
Cu,jc,221,570.0,-6.380546,4.317097,3.657372,2.414219,0.0112173,0.0000000,0.9887827,-19.501
Cu,jc,221,575.0,-6.562800,4.097470,3.707410,2.575870,0.0121030,0.0000000,0.9878970,-19.171
Cu,jc,221,580.0,-6.745053,3.877843,3.775936,2.753823,0.0130146,0.0000000,0.9869854,-18.856
Cu,jc,221,585.0,-7.102440,3.629936,4.005889,2.994557,0.0138305,0.0000000,0.9861695,-18.592
Cu,jc,221,590.0,-7.586648,3.361550,4.442302,3.222416,0.0143461,0.0000000,0.9856539,-18.433
Cu,jc,221,595.0,-8.070855,3.093164,4.994880,3.324613,0.0146523,0.0000000,0.9853477,-18.341
Cu,jc,221,600.0,-8.555063,2.824778,5.601974,3.232762,0.0149684,0.0000000,0.9850316,-18.248
Cu,jc,221,605.0,-9.039270,2.556391,6.156975,2.926883,0.0155808,0.0000000,0.9844192,-18.074
Cu,jc,221,610.0,-9.523478,2.288005,6.559107,2.462217,0.0167219,0.0000000,0.9832781,-17.767
Cu,jc,221,615.0,-10.007685,2.019619,6.767839,1.939551,0.0184769,0.0000001,0.9815230,-17.334
Cu,jc,221,620.0,-10.467497,1.902444,6.711219,1.526836,0.0205602,0.0000032,0.9794366,-16.870
Cu,jc,221,625.0,-10.913586,1.870324,6.561337,1.237443,0.0224990,0.0000303,0.9774707,-16.478
Cu,jc,221,630.0,-11.359675,1.838205,6.410137,1.013587,0.0242239,0.0001748,0.9756013,-16.158
Cu,jc,221,635.0,-11.805764,1.806085,6.265904,0.839115,0.0256315,0.0006953,0.9736732,-15.912
Cu,jc,221,640.0,-12.251853,1.773966,6.132117,0.701766,0.0267493,0.0020892,0.9711615,-15.727
Cu,jc,221,645.0,-12.697942,1.741846,6.009780,0.592459,0.0283734,0.0050717,0.9665549,-15.471
Cu,jc,221,650.0,-13.144031,1.709727,5.898689,0.504510,0.0289775,0.0104390,0.9605834,-15.379
Cu,jc,221,655.0,-13.590120,1.677607,5.798091,0.432995,0.0272319,0.0189515,0.9538165,-15.649
Cu,jc,221,660.0,-14.032114,1.650004,5.707378,0.375602,0.0294272,0.0304688,0.9401040,-15.313
Cu,jc,221,665.0,-14.437259,1.663049,5.628340,0.338608,0.0334578,0.0423096,0.9242326,-14.755
Cu,jc,221,670.0,-14.842403,1.676093,5.556739,0.306976,0.0326911,0.0568508,0.9104581,-14.856
Cu,jc,221,675.0,-15.247548,1.689138,5.491621,0.279717,0.0288239,0.0710815,0.9000945,-15.402
Cu,jc,221,680.0,-15.652692,1.702182,5.432177,0.256060,0.0246468,0.0864593,0.8888939,-16.082
Cu,jc,221,685.0,-16.057837,1.715227,5.377724,0.235395,0.0228968,0.1077382,0.8693650,-16.402
Cu,jc,221,690.0,-16.462981,1.728271,5.327677,0.217236,0.0311580,0.1293732,0.8394688,-15.064
Cu,jc,221,695.0,-16.868126,1.741316,5.281537,0.201192,0.0440667,0.1452715,0.8106619,-13.559
Cu,jc,221,700.0,-17.273270,1.754360,5.238876,0.186945,0.0446974,0.1635664,0.7917362,-13.497
Cu,jc,221,705.0,-17.677383,1.770693,5.199311,0.174573,0.0306325,0.1896645,0.7797031,-15.138
Cu,jc,221,710.0,-18.072208,1.816625,5.162462,0.166311,0.0148621,0.2104789,0.7746591,-18.279
Cu,jc,221,715.0,-18.467033,1.862557,5.128172,0.158757,0.0159508,0.2185699,0.7654792,-17.972
Cu,jc,221,720.0,-18.861858,1.908489,5.096183,0.151827,0.0271735,0.2275616,0.7452649,-15.659
Cu,jc,221,725.0,-19.256683,1.954421,5.066271,0.145449,0.0381892,0.2502933,0.7115176,-14.181
Cu,jc,221,730.0,-19.651509,2.000353,5.038240,0.139561,0.0472444,0.2742904,0.6784652,-13.256
Cu,jc,221,735.0,-20.046334,2.046285,5.011920,0.134112,0.0512877,0.2878094,0.6609029,-12.900
Cu,jc,221,740.0,-20.441159,2.092217,4.987159,0.129054,0.0492250,0.2901283,0.6606467,-13.078
Cu,jc,221,745.0,-20.835984,2.138150,4.963821,0.124348,0.0381029,0.3002867,0.6616105,-14.190
Cu,jc,221,750.0,-21.230810,2.184082,4.941789,0.119960,0.0206542,0.3270023,0.6523435,-16.850
Au,jc,221,400.0,-1.658034,5.735384,3.226570,0.964643,0.0024887,0.0000000,0.9975112,-26.040
Au,jc,221,405.0,-1.674638,5.728623,3.225474,0.967459,0.0021453,0.0000000,0.9978546,-26.685
Au,jc,221,410.0,-1.691242,5.721862,3.224379,0.970288,0.0023882,0.0000000,0.9976118,-26.219
Au,jc,221,415.0,-1.701212,5.710659,3.222506,0.972016,0.0024841,0.0000000,0.9975158,-26.048
Au,jc,221,420.0,-1.698305,5.690834,3.219119,0.971575,0.0024775,0.0000001,0.9975225,-26.060
Au,jc,221,425.0,-1.695398,5.671008,3.215724,0.971118,0.0024065,0.0000001,0.9975935,-26.186
Au,jc,221,430.0,-1.692491,5.651183,3.212320,0.970647,0.0022944,0.0000001,0.9977055,-26.393
Au,jc,221,435.0,-1.706935,5.568332,3.197965,0.973148,0.0021518,0.0000001,0.9978481,-26.672
Au,jc,221,440.0,-1.723308,5.478479,3.182076,0.975831,0.0020069,0.0000001,0.9979930,-26.975
Au,jc,221,445.0,-1.739680,5.388626,3.165845,0.978349,0.0018758,0.0000001,0.9981240,-27.268
Au,jc,221,450.0,-1.756053,5.298774,3.149267,0.980687,0.0017707,0.0000001,0.9982292,-27.519
Au,jc,221,455.0,-1.747740,5.194960,3.130011,0.978021,0.0016886,0.0000002,0.9983112,-27.725
Au,jc,221,460.0,-1.734008,5.088082,3.109996,0.973804,0.0016462,0.0000002,0.9983536,-27.835
Au,jc,221,465.0,-1.720277,4.981204,3.089756,0.969043,0.0016492,0.0000002,0.9983506,-27.827
Au,jc,221,470.0,-1.706545,4.874326,3.069305,0.963717,0.0016982,0.0000003,0.9983015,-27.700
Au,jc,221,475.0,-1.787278,4.692789,3.030486,0.974373,0.0018264,0.0000003,0.9981733,-27.384
Au,jc,221,480.0,-1.904747,4.482217,2.981682,0.991346,0.0020130,0.0000002,0.9979868,-26.962
Au,jc,221,485.0,-2.022217,4.271646,2.929216,1.008143,0.0022387,0.0000002,0.9977611,-26.500
Au,jc,221,490.0,-2.139686,4.061074,2.872725,1.024593,0.0024966,0.0000001,0.9975033,-26.027
Au,jc,221,495.0,-2.257156,3.850503,2.811804,1.040475,0.0027792,0.0000001,0.9972207,-25.561
Au,jc,221,500.0,-2.551836,3.610519,2.722707,1.103654,0.0031857,0.0000000,0.9968142,-24.968
Au,jc,221,505.0,-2.885416,3.364079,2.615324,1.187492,0.0036791,0.0000000,0.9963209,-24.343
Au,jc,221,510.0,-3.218996,3.117639,2.490827,1.285106,0.0042709,0.0000000,0.9957291,-23.695
Au,jc,221,515.0,-3.552576,2.871199,2.344773,1.400194,0.0050214,0.0000000,0.9949786,-22.992
Au,jc,221,520.0,-3.886156,2.624759,2.171035,1.537904,0.0060454,0.0000000,0.9939546,-22.186
Au,jc,221,525.0,-4.226821,2.510966,2.050586,1.731875,0.0074640,0.0000000,0.9925360,-21.270
Au,jc,221,530.0,-4.569041,2.426291,1.946431,1.974600,0.0093326,0.0000000,0.9906674,-20.300
Au,jc,221,535.0,-4.911261,2.341616,1.849225,2.272442,0.0116928,0.0000000,0.9883072,-19.321
Au,jc,221,540.0,-5.253481,2.256941,1.771580,2.639937,0.0144393,0.0000000,0.9855607,-18.405
Au,jc,221,545.0,-5.595701,2.172266,1.735724,3.093526,0.0172402,0.0000000,0.9827598,-17.635
Au,jc,221,550.0,-5.936991,2.092461,1.786548,3.643079,0.0194708,0.0000000,0.9805292,-17.106
Au,jc,221,555.0,-6.275886,2.025177,1.996021,4.271142,0.0203985,0.0000000,0.9796015,-16.904
Au,jc,221,560.0,-6.614782,1.957893,2.420608,4.946252,0.0198740,0.0000000,0.9801260,-17.017
Au,jc,221,565.0,-6.953677,1.890610,3.127066,5.570337,0.0180496,0.0000000,0.9819504,-17.435
Au,jc,221,570.0,-7.292573,1.823326,4.119710,5.980618,0.0155230,0.0000000,0.9844770,-18.090
Au,jc,221,575.0,-7.631468,1.756043,5.276906,6.009088,0.0130703,0.0000000,0.9869297,-18.837
Au,jc,221,580.0,-7.970364,1.688759,6.367257,5.601515,0.0112690,0.0000000,0.9887310,-19.481
Au,jc,221,585.0,-8.325746,1.636573,7.162787,4.810862,0.0103168,0.0000000,0.9896832,-19.865
Au,jc,221,590.0,-8.693065,1.595319,7.560630,3.902954,0.0102931,0.0000000,0.9897069,-19.875
Au,jc,221,595.0,-9.060385,1.554066,7.661282,3.093491,0.0111362,0.0000000,0.9888638,-19.533
Au,jc,221,600.0,-9.427705,1.512812,7.586961,2.435925,0.0127294,0.0000000,0.9872706,-18.952
Au,jc,221,605.0,-9.795025,1.471559,7.426428,1.924175,0.0148577,0.0000002,0.9851421,-18.280
Au,jc,221,610.0,-10.162345,1.430305,7.232429,1.532095,0.0172346,0.0000037,0.9827617,-17.636
Au,jc,221,615.0,-10.529665,1.389051,7.032929,1.232078,0.0196017,0.0000356,0.9803627,-17.077
Au,jc,221,620.0,-10.885698,1.348795,6.847272,1.007211,0.0217617,0.0001983,0.9780399,-16.623
Au,jc,221,625.0,-11.235381,1.309099,6.677417,0.833834,0.0236350,0.0007585,0.9756065,-16.264
Au,jc,221,630.0,-11.585065,1.269404,6.521537,0.696125,0.0254713,0.0022364,0.9722923,-15.939
Au,jc,221,635.0,-11.934749,1.229708,6.379630,0.585633,0.0268823,0.0053794,0.9677383,-15.705
Au,jc,221,640.0,-12.284433,1.190013,6.250899,0.496092,0.0268643,0.0110421,0.9620936,-15.708
Au,jc,221,645.0,-12.634117,1.150317,6.134224,0.422838,0.0292010,0.0202267,0.9505723,-15.346
Au,jc,221,650.0,-12.983801,1.110622,6.028402,0.362371,0.0341895,0.0330224,0.9327881,-14.661
Au,jc,221,655.0,-13.333485,1.070926,5.932268,0.312042,0.0286495,0.0509476,0.9204029,-15.429
Au,jc,221,660.0,-13.683417,1.035551,5.844325,0.270878,0.0233184,0.0722036,0.9044780,-16.323
Au,jc,221,665.0,-14.035583,1.039062,5.760935,0.244681,0.0347942,0.0874794,0.8777264,-14.585
Au,jc,221,670.0,-14.387750,1.042573,5.685329,0.222155,0.0410639,0.1125196,0.8464165,-13.865
Au,jc,221,675.0,-14.739917,1.046084,5.616487,0.202645,0.0353416,0.1389294,0.8257290,-14.517
Au,jc,221,680.0,-15.092083,1.049596,5.553556,0.185636,0.0291387,0.1503866,0.8204747,-15.355
Au,jc,221,685.0,-15.444250,1.053107,5.495818,0.170718,0.0212665,0.1703566,0.8083769,-16.723
Au,jc,221,690.0,-15.796417,1.056618,5.442666,0.157561,0.0179225,0.2113394,0.7707381,-17.466
Au,jc,221,695.0,-16.148583,1.060129,5.393580,0.145898,0.0374705,0.2387354,0.7237941,-14.263
Au,jc,221,700.0,-16.500750,1.063640,5.348117,0.135511,0.0622122,0.2423048,0.6954830,-12.061
Au,jc,221,705.0,-16.854520,1.068790,5.305667,0.126366,0.0583697,0.2632685,0.6783618,-12.338
Au,jc,221,710.0,-17.222724,1.088693,5.264263,0.119391,0.0332476,0.3036272,0.6631252,-14.782
Au,jc,221,715.0,-17.590928,1.108596,5.225781,0.113070,0.0075783,0.3350222,0.6573994,-21.204
Au,jc,221,720.0,-17.959132,1.128499,5.189922,0.107320,0.0156241,0.3236425,0.6607335,-18.062
Au,jc,221,725.0,-18.327336,1.148402,5.156430,0.102072,0.0300111,0.3320071,0.6379818,-15.227
Au,jc,221,730.0,-18.695540,1.168305,5.125076,0.097265,0.0453832,0.3731559,0.5814609,-13.431
Au,jc,221,735.0,-19.063744,1.188208,5.095664,0.092850,0.0577673,0.4087340,0.5334987,-12.383
Au,jc,221,740.0,-19.431948,1.208111,5.068018,0.088782,0.0616992,0.4179144,0.5203864,-12.097
Au,jc,221,745.0,-19.800151,1.228014,5.041985,0.085025,0.0611537,0.3958575,0.5429889,-12.136
Au,jc,221,750.0,-20.168355,1.247917,5.017428,0.081546,0.0426657,0.4120293,0.5453050,-13.699
Ag,lerer,221,446.0,-5.886045,0.748748,-1.822364,3.154486,0.1143471,0.0000000,0.8856529,-9.418
