design,au_model,lambda_nm,R,T,A_layers,A_total
improved,jc_fit,1280.0,0.711276,0.028213,0.260511,0.288724
improved,jc_fit,1300.0,0.606743,0.040541,0.352715,0.393257
improved,jc_fit,1320.0,0.613999,0.042161,0.343840,0.386001
improved,jc_fit,1340.0,0.725125,0.031755,0.243121,0.274875
improved,jc_fit,1360.0,0.806845,0.023447,0.169707,0.193155
improved,jc_fit,1380.0,0.845435,0.019549,0.135016,0.154565
improved,jc_fit,1400.0,0.856102,0.018840,0.125057,0.143898
improved,jc_fit,1420.0,0.845642,0.020860,0.133498,0.154358
improved,jc_fit,1440.0,0.814344,0.025838,0.159818,0.185656
improved,jc_fit,1460.0,0.762646,0.034024,0.203330,0.237354
improved,jc_fit,1480.0,0.712490,0.042506,0.245004,0.287510
improved,jc_fit,1500.0,0.714831,0.043546,0.241624,0.285169
improved,jc_fit,1520.0,0.770247,0.036271,0.193482,0.229753
improved,jc_fit,1540.0,0.827906,0.028092,0.144001,0.172094
improved,jc_fit,1560.0,0.866713,0.022486,0.110801,0.133287
improved,jc_fit,1580.0,0.888865,0.019359,0.091776,0.111135
improved,jc_fit,1600.0,0.899386,0.018077,0.082537,0.100614
improved,jc_fit,1620.0,0.900339,0.018481,0.081180,0.099661
improved,jc_fit,1640.0,0.892447,0.020599,0.086954,0.107553
improved,jc_fit,1660.0,0.875368,0.024631,0.100001,0.124632
improved,jc_fit,1680.0,0.846536,0.031267,0.122196,0.153464
improved,jc_fit,1700.0,0.804322,0.041059,0.154619,0.195678
improved,jc_fit,1720.0,0.756411,0.052569,0.191020,0.243589
improved,jc_fit,1740.0,0.730665,0.059684,0.209651,0.269335
improved,jc_fit,1760.0,0.751771,0.056371,0.191858,0.248229
improved,jc_fit,1780.0,0.800982,0.046218,0.152800,0.199018
improved,jc_fit,1800.0,0.847704,0.036091,0.116205,0.152296
improved,jc_fit,1820.0,0.881558,0.028585,0.089856,0.118442
improved,jc_fit,1840.0,0.903944,0.023571,0.072485,0.096056
improved,jc_fit,1860.0,0.918236,0.020376,0.061388,0.081764
improved,jc_fit,1880.0,0.927014,0.018459,0.054527,0.072986
improved,jc_fit,1900.0,0.931885,0.017481,0.050634,0.068115
improved,jc_fit,1920.0,0.933749,0.017259,0.048992,0.066251
improved,jc_fit,1940.0,0.934532,0.017092,0.048377,0.065468
improved,jc_fit,1960.0,0.931447,0.018200,0.050354,0.068553
improved,jc_fit,1980.0,0.925619,0.020106,0.054275,0.074381
improved,jc_fit,2000.0,0.916477,0.023018,0.060505,0.083523
improved,jc_fit,2050.0,0.872348,0.037092,0.090560,0.127652
improved,jc_fit,2100.0,0.793079,0.063593,0.143328,0.206921
improved,jc_fit,2150.0,0.778533,0.071800,0.149667,0.221467
improved,jc_fit,2200.0,0.859924,0.047545,0.092531,0.140076
improved,jc_fit,2250.0,0.914589,0.030048,0.055363,0.085411
improved,jc_fit,2300.0,0.939684,0.021785,0.038531,0.060316
improved,jc_fit,2350.0,0.950609,0.018190,0.031201,0.049391
improved,jc_fit,2400.0,0.954240,0.017131,0.028630,0.045760
improved,jc_fit,2450.0,0.953008,0.017884,0.029108,0.046992
improved,jc_fit,2500.0,0.947258,0.020458,0.032285,0.052742
improved,jc_fit,2550.0,0.935949,0.025413,0.038638,0.064051
improved,jc_fit,2600.0,0.916838,0.033880,0.049282,0.083162
improved,jc_fit,2650.0,0.887660,0.047139,0.065201,0.112340
improved,jc_fit,2700.0,0.852381,0.063925,0.083694,0.147619
improved,jc_fit,2750.0,0.832010,0.075119,0.092871,0.167990
improved,jc_fit,2800.0,0.846452,0.070849,0.082699,0.153548
improved,jc_fit,2850.0,0.879725,0.057160,0.063115,0.120275
improved,jc_fit,2900.0,0.909514,0.044176,0.046310,0.090486
improved,jc_fit,2950.0,0.930162,0.034919,0.034919,0.069838
improved,jc_fit,3000.0,0.943463,0.028860,0.027677,0.056537
improved,jc_fit,3050.0,0.951851,0.025018,0.023131,0.048149
improved,jc_fit,3100.0,0.957013,0.022678,0.020309,0.042987
improved,jc_fit,3150.0,0.959965,0.021400,0.018636,0.040035
improved,jc_fit,3200.0,0.961291,0.020933,0.017777,0.038709
improved,jc_fit,3250.0,0.961309,0.021146,0.017545,0.038691
improved,jc_fit,3300.0,0.960165,0.021991,0.017844,0.039835
improved,jc_fit,3350.0,0.957887,0.023479,0.018635,0.042113
improved,jc_fit,3400.0,0.954416,0.025667,0.019917,0.045584
improved,jc_fit,3450.0,0.949630,0.028651,0.021718,0.050370
improved,jc_fit,3500.0,0.943378,0.032548,0.024074,0.056622
improved,jc_fit,3550.0,0.935536,0.037462,0.027002,0.064464
improved,jc_fit,3600.0,0.926137,0.043410,0.030453,0.073863
improved,jc_fit,3650.0,0.915564,0.050200,0.034235,0.084436
improved,jc_fit,3700.0,0.904802,0.057269,0.037929,0.095198
improved,jc_fit,3750.0,0.895535,0.063596,0.040869,0.104465
improved,jc_fit,3800.0,0.889788,0.067899,0.042314,0.110212
improved,jc_fit,3850.0,0.889008,0.069193,0.041799,0.110992
improved,jc_fit,3900.0,0.893214,0.067352,0.039434,0.106786
improved,jc_fit,3950.0,0.901034,0.063135,0.035831,0.098966
improved,jc_fit,4000.0,0.910583,0.057679,0.031737,0.089417
