design,au_model,lambda_nm,R,T,A_layers,A_total
original,lerer_ordal,6786.0,0.128480,0.870940,0.000580,0.871520
original,lerer_ordal,7327.8,0.073330,0.926145,0.000524,0.926670
original,lerer_ordal,7912.9,0.039179,0.960364,0.000457,0.960821
original,lerer_ordal,8544.7,0.035017,0.964599,0.000384,0.964983
original,lerer_ordal,9226.9,0.056614,0.943072,0.000314,0.943386
original,lerer_ordal,9963.6,0.092442,0.907304,0.000253,0.907558
original,lerer_ordal,10759.1,0.131438,0.868356,0.000205,0.868562
original,lerer_ordal,11618.1,0.166548,0.833284,0.000168,0.833452
original,lerer_ordal,12545.7,0.194545,0.805315,0.000140,0.805455
original,lerer_ordal,13547.4,0.214646,0.785236,0.000118,0.785354
original,lerer_ordal,14629.0,0.227308,0.772590,0.000102,0.772692
original,lerer_ordal,15797.0,0.233500,0.766412,0.000089,0.766500
original,lerer_ordal,17058.2,0.234326,0.765597,0.000078,0.765674
original,lerer_ordal,18420.2,0.230862,0.769069,0.000069,0.769138
original,lerer_ordal,19890.8,0.224087,0.775852,0.000061,0.775913
original,lerer_ordal,21478.9,0.214864,0.785082,0.000054,0.785136
original,lerer_ordal,23193.8,0.203935,0.796017,0.000048,0.796065
original,lerer_ordal,25045.7,0.191928,0.808029,0.000043,0.808072
original,lerer_ordal,27045.3,0.179365,0.820597,0.000038,0.820635
original,lerer_ordal,29204.6,0.166667,0.833300,0.000034,0.833333
original,lerer_ordal,31536.4,0.154166,0.845805,0.000030,0.845834
original,lerer_ordal,34054.2,0.142112,0.857862,0.000026,0.857888
original,lerer_ordal,36773.2,0.130686,0.869291,0.000023,0.869314
original,lerer_ordal,39709.2,0.120007,0.879972,0.000020,0.879993
original,lerer_ordal,42879.6,0.110146,0.889836,0.000018,0.889854
original,lerer_ordal,46303.1,0.101132,0.898852,0.000016,0.898868
original,lerer_ordal,50000.0,0.092965,0.907021,0.000014,0.907035
improved,lerer_fit,300.0,0.038247,0.000000,0.961753,0.961753
improved,lerer_fit,310.0,0.036655,0.000000,0.963345,0.963345
improved,lerer_fit,320.0,0.034422,0.000000,0.965578,0.965578
improved,lerer_fit,330.0,0.031528,0.000000,0.968472,0.968472
improved,lerer_fit,340.0,0.028650,0.000000,0.971350,0.971350
improved,lerer_fit,350.0,0.026092,0.000000,0.973908,0.973908
improved,lerer_fit,360.0,0.023680,0.000000,0.976320,0.976320
improved,lerer_fit,370.0,0.021201,0.000000,0.978799,0.978799
improved,lerer_fit,380.0,0.018562,0.000000,0.981438,0.981438
improved,lerer_fit,390.0,0.015865,0.000000,0.984135,0.984135
improved,lerer_fit,400.0,0.013307,0.000000,0.986693,0.986693
