material,N,target_deg,design,levels,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_target,eta_coherent
GSST,32,-15.0,eim_te,0,1.0083594566353187,6.599075318732368,-15.0,0.0,3.1199999999999903,-11.708412542728723,0.3289462159267919,0.27171165107358924,0.8260063132450187
GSST,32,-15.0,eim_tm,0,1.0919540229885056,7.146148920285309,-15.049999999999997,-0.04999999999999716,3.1200000000000045,-10.1869709726685,0.30929796246597485,0.24234105445944024,0.7840205734399898
Sb2S3,32,-15.0,fem,0,1.0,0.11391743269067303,-15.0,0.0,3.269999999999996,-13.232758327655347,0.9741106764815676,0.9741106242088997,0.9999999463380609
Sb2S3,32,-15.0,eim_te,0,0.956444759206799,0.1089557314792875,-14.969999999999999,0.030000000000001137,3.269999999999996,-13.067661578287076,0.9752241995797235,0.9688039724508276,0.9936768428402666
Sb2S3,32,-15.0,eim_tm,0,1.7623937677053827,0.2007673734070396,-30.96,-15.96,3.6999999999999957,0.0,0.9548241775148503,0.06074131737448245,0.8253915480960946
Sb2Se3,32,-15.0,fem,0,1.0,0.22213144283992003,-15.0,0.0,3.269999999999996,-13.22757424892676,0.9503104101752032,0.9502243923494491,0.9999094844959783
Sb2Se3,32,-15.0,eim_te,0,0.9750679963735267,0.2165932609014814,-14.980000000000004,0.01999999999999602,3.2700000000000102,-13.134792111868471,0.9515145493072513,0.9493771183566772,0.997839221213205
Sb2Se3,32,-15.0,eim_tm,0,1.3789664551223935,0.30631180830418714,-15.329999999999998,-0.3299999999999983,3.3100000000000023,-4.2124009775186035,0.9322198117013162,0.549882207202238,0.6051409579988174
GSST,32,-10.0,fem,0,1.0,6.492072615155758,-10.0,0.0,3.069999999999993,-9.6954993122783,0.32096976499019925,0.271466555639042,0.845769867598997
GSST,32,-10.0,eim_te,0,1.0083594566353187,6.5463428146554925,-10.010000000000005,-0.010000000000005116,3.0799999999999983,-9.552584275611354,0.31875536268491744,0.2688830991707253,0.8435536437730952
GSST,32,-10.0,eim_tm,0,1.0919540229885056,7.0890448096528385,-10.090000000000003,-0.09000000000000341,3.0600000000000023,-7.995647895817291,0.29798562204437584,0.23979284230132672,0.8063426487506551
Sb2S3,32,-10.0,fem,0,1.0,0.11389151363940425,-10.0,0.0,3.210000000000008,-13.2324722373838,0.9741164803025375,0.9741164329143907,0.9999999513526895
Sb2S3,32,-10.0,eim_te,0,0.956444759206799,0.10893094133853784,-9.959999999999994,0.04000000000000625,3.2099999999999937,-12.940749331043195,0.9752297573661193,0.9694084989382452,0.9944020439754435
Sb2S3,32,-10.0,eim_tm,0,1.7623937677053827,0.20072169383261862,-20.099999999999994,-10.099999999999994,3.3400000000000034,0.0,0.9548341907685954,0.0981331307373485,0.8441529046749462
Sb2Se3,32,-10.0,fem,0,1.0,0.2210667899687135,-10.0,0.0,3.210000000000008,-13.215346293126832,0.9505272172822583,0.9504492978569654,0.9999180250455998
Sb2Se3,32,-10.0,eim_te,0,0.9750679963735267,0.21555515195952074,-9.980000000000004,0.01999999999999602,3.210000000000008,-13.048383605205874,0.9517266146609602,0.9497902756114086,0.9980872281242259
Sb2Se3,32,-10.0,eim_tm,0,1.3789664551223935,0.30484368770844356,-10.349999999999994,-0.3499999999999943,3.1199999999999903,-3.6071688749897945,0.9325047325699101,0.5817656953314696,0.6439567012790113
GSST,32,-5.0,fem,0,1.0,5.445045535904564,-5.0,0.0,2.819999999999993,-7.205895262725079,0.39990369832285805,0.3441905626298821,0.8606836197648853
GSST,32,-5.0,eim_te,0,1.0083594566353187,5.4905631579392935,-5.0,0.0,2.819999999999993,-7.1334548525520125,0.39773212949967796,0.3415645137631403,0.858780290626274
GSST,32,-5.0,eim_tm,0,1.0919540229885056,5.945739378286593,-5.030000000000001,-0.030000000000001137,2.799999999999997,-6.237410995309139,0.37720196557275076,0.31121229652714044,0.8253306069912257
Sb2S3,32,-5.0,fem,0,1.0,0.11337257740586058,-5.0,0.0,3.180000000000007,-13.228203329537543,0.9742328865921562,0.97423283786946,0.9999999499886558
Sb2S3,32,-5.0,eim_te,0,0.956444759206799,0.1084346074976025,-4.969999999999999,0.030000000000001137,3.1700000000000017,-12.876716192390194,0.9753412203924259,0.9693565788582341,0.9940647332858129
Sb2S3,32,-5.0,eim_tm,0,1.7623937677053827,0.19980712384878477,-9.89,-4.890000000000001,3.2099999999999937,0.0,0.955035296196213,0.10650459063299933,0.8352047299815465
Sb2Se3,32,-5.0,fem,0,1.0,0.19975092677272965,-5.0,0.0,3.1700000000000017,-13.042615378333968,0.9552081161885678,0.9551278459486645,0.9999159657057526
Sb2Se3,32,-5.0,eim_te,0,0.9750679963735267,0.19477073594204053,-4.980000000000004,0.01999999999999602,3.1700000000000017,-12.893685906020275,0.9562961964039363,0.9543015960555277,0.9979752317872879
Sb2Se3,32,-5.0,eim_tm,0,1.3789664551223935,0.2754498273992038,-5.219999999999999,-0.21999999999999886,3.160000000000011,-3.8732056798642716,0.9388449299428723,0.579901990652437,0.6261080928487628
GSST,32,0.0,fem,0,1.0,0.0543576,0.0,0.0,3.1599999999999966,-13.23288728179963,0.9875617031611511,0.9875617031611504,0.9999999999999993
GSST,32,0.0,eim_te,0,1.0083594566353187,0.054812,0.0,0.0,3.1599999999999966,-13.232887281799632,0.9874583805122805,0.9874583805122805,1.0
GSST,32,0.0,eim_tm,0,1.0919540229885056,0.05935599999999999,0.0,0.0,3.1599999999999966,-13.232887281799632,0.9864257483885466,0.9864257483885461,0.9999999999999996
Sb2S3,32,0.0,fem,0,1.0,0.11070079999999999,0.0,0.0,3.1599999999999966,-13.232887281799632,0.9748323210483205,0.9748323210483205,1.0
Sb2S3,32,0.0,eim_te,0,0.956444759206799,0.10587919999999999,0.0,0.0,3.1599999999999966,-13.232887281799634,0.9759151949563475,0.9759151949563479,1.0000000000000004
Sb2S3,32,0.0,eim_tm,0,1.7623937677053827,0.1950984,0.0,0.0,3.1599999999999966,-13.232887281799632,0.9560710326549167,0.9560710326549167,1.0
Sb2Se3,32,0.0,fem,0,1.0,0.09000480000000001,0.0,0.0,3.1599999999999966,-13.232887281799634,0.9794889028369583,0.9794889028369588,1.0000000000000004
Sb2Se3,32,0.0,eim_te,0,0.9750679963735267,0.0877608,0.0,0.0,3.1599999999999966,-13.23288728179963,0.979995135619977,0.9799951356199765,0.9999999999999996
Sb2Se3,32,0.0,eim_tm,0,1.3789664551223935,0.12411360000000002,0.0,0.0,3.1599999999999966,-13.23288728179963,0.971826282191311,0.9718262821913105,0.9999999999999996
GSST,32,5.0,fem,0,1.0,7.911097676595436,5.0,0.0,3.530000000000001,-14.082335523141882,0.2539975130864339,0.20301843728026903,0.7992930120193067
GSST,32,5.0,eim_te,0,1.0083594566353187,7.977230154560706,5.0,0.0,3.530000000000001,-13.948645406705129,0.2520029728272415,0.20066993795208685,0.7962998836908739
GSST,32,5.0,eim_tm,0,1.0919540229885056,8.638554934213406,4.989999999999995,-0.010000000000005116,3.5900000000000034,-12.152772045582331,0.23353114484291343,0.17402522978971197,0.7451945100032564
Sb2S3,32,5.0,fem,0,1.0,0.11459482259413939,5.0,0.0,3.180000000000007,-13.237444125598437,0.9739587512117964,0.9739586991508355,0.9999999465470577
Sb2S3,32,5.0,eim_te,0,0.956444759206799,0.1096036175023975,5.0,0.0,3.180000000000007,-12.607236788055008,0.9750787248700868,0.9686849788234005,0.9934428411946552
