material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2Se3,32,-55.0,planar_calibrated,1.6521309314586994,0.6353375598213149,-55.0,0.0,5.549999999999997,-13.329400395921503,0.865217506427852,0.8645615253635494,0.8645615253635494,0.9992418310315854,0.8878251122687953,ok
Sb2Se3,32,-55.0,planar_response_to_eim_design,1.6521309314586994,1.049660834498286,21.340000000000003,76.34,3.3999999999999915,0.0,0.7885540472218422,0.5200741953484436,0.1457377361911305,0.6595289152097044,0.23548521594609498,ok
GSST,32,-50.0,eim_prediction,0.9794910748195975,7.60301550955978,-50.0,0.0,4.839999999999996,-11.424560485398576,0.280076268789891,0.22405874725881883,0.22405874725881883,0.7999919030159043,0.71407293714164,ok
GSST,32,-50.0,planar_calibrated,0.9794910748195975,4.637401205603228,-50.0,0.0,4.880000000000003,-12.89280188168503,0.4044016602888604,0.37352471910070284,0.37352471910070284,0.9236478377311744,0.8150648583106278,ok
GSST,32,-50.0,planar_response_to_eim_design,0.9794910748195975,4.542293091246003,-49.98,0.020000000000003126,4.880000000000003,-12.75007284796255,0.4107139315782936,0.3800066197066169,0.3799955181727371,0.9252343066287659,0.8187322082478939,ok
Sb2S3,32,-50.0,eim_prediction,2.695111708382328,0.6601516061647559,-50.0,0.0,4.940000000000005,-13.244717251704948,0.8592733451256112,0.8591284503403376,0.8591284503403376,0.9998313752124449,0.8843147846668633,EIM buffer slice below cutoff
Sb2S3,32,-50.0,planar_calibrated,2.695111708382328,1.5593934968781151,-50.0,0.0,4.950000000000003,-13.269155979054245,0.7006743228376189,0.699502121550911,0.699502121550911,0.9983270383279343,0.8846374546768979,EIM buffer slice below cutoff
Sb2S3,32,-50.0,planar_response_to_eim_design,2.695111708382328,4.20273967141147,-17.189999999999998,32.81,3.3299999999999983,0.0,0.38926230870108003,0.2797187296524261,0.008669967566198472,0.7185867303356772,0.029931480396652173,EIM buffer slice below cutoff
Sb2Se3,32,-50.0,eim_prediction,1.6521309314586994,0.19404671563228862,-50.0,0.0,4.93,-13.239819742975154,0.9564122913464002,0.956357439452495,0.956357439452495,0.9999426482758519,0.8841236062053214,ok
Sb2Se3,32,-50.0,planar_calibrated,1.6521309314586994,0.6139412351475312,-50.0,0.0,4.940000000000005,-13.257950917721033,0.8695277604862184,0.8688500295979618,0.8688500295979618,0.9992205759044683,0.8846257403007836,ok
Sb2Se3,32,-50.0,planar_response_to_eim_design,1.6521309314586994,1.014311304685195,28.10000000000001,78.10000000000001,3.5999999999999943,0.0,0.795090907267018,0.5201863091983148,0.13840365119286116,0.654247589104448,0.19827994200636823,ok
GSST,32,-45.0,eim_prediction,0.9794910748195975,7.312513346652583,-45.0,0.0,4.469999999999999,-10.844666302630744,0.2992006969414286,0.23971062164436688,0.23971062164436688,0.8011699975795595,0.7308608234492663,ok
GSST,32,-45.0,planar_calibrated,0.9794910748195975,4.472854343853329,-45.0,0.0,4.480000000000004,-12.981054300204777,0.42014707126325546,0.3880910284107818,0.3880910284107818,0.9237028054102797,0.8271286192284841,ok
GSST,32,-45.0,planar_response_to_eim_design,0.9794910748195975,4.381120908772402,-44.98,0.020000000000003126,4.479999999999997,-12.702705513736614,0.42637534415911915,0.3945305280831868,0.3945036262552401,0.9253127168065136,0.8298138459217707,ok
Sb2S3,32,-45.0,eim_prediction,2.695111708382328,0.6675462346996736,-45.0,0.0,4.490000000000002,-13.232360138090478,0.8578135712712633,0.857667885251824,0.857667885251824,0.9998301658724944,0.8848676755889944,EIM buffer slice below cutoff
Sb2S3,32,-45.0,planar_calibrated,2.695111708382328,1.582714128401472,-45.0,0.0,4.490000000000002,-13.227652944097027,0.6969394786747674,0.6957644073320071,0.6957644073320071,0.9983139549721094,0.8837326801288684,EIM buffer slice below cutoff
Sb2S3,32,-45.0,planar_response_to_eim_design,2.695111708382328,4.265591378476939,-6.709999999999994,38.290000000000006,3.180000000000007,0.0,0.3837487362055036,0.2778182791276841,0.008057910768635115,0.7239588118901529,0.03312853911736764,EIM buffer slice below cutoff
Sb2Se3,32,-45.0,eim_prediction,1.6521309314586994,0.19835864337099257,-45.0,0.0,4.490000000000002,-13.232707688152377,0.9554639463033059,0.9554087628540437,0.9554087628540437,0.9999422443416357,0.8849515507164154,ok
Sb2Se3,32,-45.0,planar_calibrated,1.6521309314586994,0.629847971255994,-45.0,0.0,4.490000000000002,-13.23045065210138,0.8663586734225779,0.8656783333256757,0.8656783333256757,0.9992147131231289,0.8844070363833842,ok
Sb2Se3,32,-45.0,planar_response_to_eim_design,1.6521309314586994,1.0405913154285376,36.22,81.22,3.9099999999999966,0.0,0.7903196971137285,0.522378416175454,0.13441206231140182,0.6609710198078016,0.18293982705088632,ok
GSST,32,-40.0,eim_prediction,0.9794910748195975,7.806709665320685,-40.0,0.0,4.189999999999998,-11.8394697237838,0.27114858530849983,0.21546008816190024,0.21546008816190024,0.7946199974333633,0.7110656374243224,ok
GSST,32,-40.0,planar_calibrated,0.9794910748195975,4.752778088693628,-40.0,0.0,4.18,-13.640383690536076,0.39575192934919545,0.3646604488231357,0.3646604488231357,0.9214369451661576,0.8236866670404407,ok
GSST,32,-40.0,planar_response_to_eim_design,0.9794910748195975,4.655303718473554,-39.99,0.00999999999999801,4.18,-13.28917838803733,0.40207026806777046,0.37112990544321633,0.37112652349825603,0.923047374845088,0.8275666061641356,ok
Sb2S3,32,-40.0,eim_prediction,2.695111708382328,0.6549666443678733,-40.0,0.0,4.140000000000001,-13.192796462462752,0.8603088391495606,0.8601592637234107,0.8601592637234107,0.9998261375225462,0.8873621771555078,EIM buffer slice below cutoff
Sb2S3,32,-40.0,planar_calibrated,2.695111708382328,1.54304154857445,-40.0,0.0,4.119999999999997,-13.101353485221058,0.7033907946119443,0.7021774187141825,0.7021774187141825,0.9982749619314663,0.8851441552758682,EIM buffer slice below cutoff
Sb2S3,32,-40.0,planar_response_to_eim_design,2.695111708382328,4.158669344083399,4.210000000000008,44.21000000000001,3.1899999999999977,0.0,0.39353018819449104,0.2788322911183637,0.006336430123680864,0.7085410458537906,0.03817987435683192,EIM buffer slice below cutoff
Sb2Se3,32,-40.0,eim_prediction,1.6521309314586994,0.19102328037918204,-40.0,0.0,4.140000000000001,-13.209697266057297,0.9570817580074709,0.9570251636474303,0.9570251636474303,0.9999408677894369,0.8876226230532802,ok
Sb2Se3,32,-40.0,planar_calibrated,1.6521309314586994,0.6027877581816473,-40.0,0.0,4.130000000000003,-13.14479169933815,0.8718060130928149,0.8711053734725226,0.8711053734725226,0.9991963354120411,0.8863579567301452,ok
Sb2Se3,32,-40.0,planar_response_to_eim_design,1.6521309314586994,0.9958843003965463,45.75999999999999,85.75999999999999,4.599999999999994,0.0,0.7985773673780729,0.512881468586626,0.13126626516003767,0.6422439321947512,0.14726179553446223,ok
GSST,32,-35.0,eim_prediction,0.9794910748195975,6.786898638106962,-35.0,0.0,3.8499999999999943,-11.100148607896791,0.3338949659308554,0.26890611095202144,0.26890611095202144,0.8053613812425906,0.6906307617979484,ok
GSST,32,-35.0,planar_calibrated,0.9794910748195975,4.175134526846669,-35.0,0.0,3.8599999999999994,-13.21044476013671,0.44821670490557647,0.41479933870966706,0.41479933870966706,0.9254437288254367,0.8125334577273681,ok
GSST,32,-35.0,planar_response_to_eim_design,0.9794910748195975,4.089507005217456,-34.99,0.00999999999999801,3.8599999999999994,-13.120940227043372,0.4542910666839198,0.42111932939417335,0.4211084124314354,0.9269813128136499,0.8166109755594055,ok
Sb2S3,32,-35.0,eim_prediction,2.695111708382328,0.6809255688956312,-35.0,0.0,3.8700000000000045,-13.232841965256005,0.8551679946446896,0.8550262431427255,0.8550262431427255,0.9998342413387172,0.8910049585469079,EIM buffer slice below cutoff
Sb2S3,32,-35.0,planar_calibrated,2.695111708382328,1.6249088811653778,-35.0,0.0,3.8700000000000045,-13.232425012182516,0.6901450892111698,0.68900936852122,0.68900936852122,0.9983543740182982,0.8894210255304273,EIM buffer slice below cutoff
Sb2S3,32,-35.0,planar_response_to_eim_design,2.695111708382328,4.379310950683239,16.39,51.39,3.3100000000000023,0.0,0.37361195071551134,0.2700722716164705,0.008825260381275733,0.7228683962042701,0.02537201068446955,EIM buffer slice below cutoff
Sb2Se3,32,-35.0,eim_prediction,1.6521309314586994,0.20616034997092825,-35.0,0.0,3.8700000000000045,-13.232872747112578,0.9537464386192894,0.9536926763065547,0.9536926763065547,0.9999436303921485,0.8911220773639359,ok
