N,target_deg,sigma_deg,metric,mean,std,p05,p95,analytic_eta_target
64,30.0,2.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,2.0,sll_db,-13.159244263721755,0.07155032422266738,-13.24542027211263,-13.026604832307365,
64,30.0,2.0,eta_target,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,0.9988012993480953
64,30.0,2.0,eta_peak,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,
64,30.0,2.0,eta_coherent,0.9988170404191841,0.00019412182479650243,0.9984787358829291,0.9991306601728944,
64,30.0,5.0,pointing_error_deg,0.0,0.0,0.0,0.0,
64,30.0,5.0,sll_db,-13.029829267897963,0.1816824541900538,-13.240380823001978,-12.660135319541943,
64,30.0,5.0,eta_target,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,0.9925320277075355
64,30.0,5.0,eta_peak,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,
64,30.0,5.0,eta_coherent,0.9924982489708163,0.0014179927335367165,0.9896185732969681,0.9948527512721298,
64,30.0,10.0,pointing_error_deg,0.0010000000000002273,0.017291616465791228,0.0,0.0,
64,30.0,10.0,sll_db,-12.78709833314922,0.3138072899593841,-13.167950548974405,-12.244145066484341,
64,30.0,10.0,eta_target,0.9710676148164069,0.0048060366859774845,0.9612577962340386,0.9775824940056886,0.9704663299573474
64,30.0,10.0,eta_peak,0.9710931908521593,0.0047979166355295,0.9612577962340386,0.9775824940056886,
64,30.0,10.0,eta_coherent,0.9710931908521593,0.0047979166355295,0.9612577962340386,0.9775824940056886,
64,30.0,20.0,pointing_error_deg,0.001000000000002359,0.05743692192309842,-0.09999999999999432,0.10000000000000853,
64,30.0,20.0,sll_db,-12.314199676714033,0.6330198637741409,-13.229640419488957,-11.14883045250979,
64,30.0,20.0,eta_target,0.8855136719461346,0.01692386006213283,0.8551355941154861,0.9120024004365584,0.8870762750469864
64,30.0,20.0,eta_peak,0.8864354016328921,0.01685199557807992,0.8551355941154861,0.9121637246302066,
64,30.0,20.0,eta_coherent,0.8864354016328921,0.01685199557807992,0.8551355941154861,0.9121637246302066,
64,30.0,30.0,pointing_error_deg,0.009000000000003183,0.07886063656857019,-0.09999999999999432,0.10500000000000796,
64,30.0,30.0,sll_db,-11.633731379796187,0.9316463032484273,-12.95074382175441,-10.02218057061532,
64,30.0,30.0,eta_target,0.7575883459282103,0.03783053979619586,0.6926693312585064,0.8149823730673521,0.7639603783049177
64,30.0,30.0,eta_peak,0.7603047562160308,0.03816763189366992,0.6946378931624771,0.8159914065660713,
64,30.0,30.0,eta_coherent,0.7603047562160308,0.03816763189366992,0.6946378931624771,0.8159914065660713,
