material,N,target_deg,scenario,phase_scale,mean_loss_db,min_loss_db,max_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2Se3,16,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,7.340000000000003,-13.146833842320966,1.0,1.0,1.0,1.0,0.8873177506512079,ok
Sb2Se3,16,30.0,eim_prediction,1.0,0.22187499999999993,0.13794999999999993,0.3058,30.0,0.0,7.340000000000003,-13.136644728752707,0.950293041258484,0.950243756798938,0.950243756798938,0.999948137619233,0.8873100537473191,ok
Sb2Se3,16,30.0,planar_calibrated,1.0,0.7165999999999997,0.4069999999999997,1.0262,30.0,0.0,7.340000000000003,-13.109279400499105,0.8490883478441059,0.8484895814862913,0.8484895814862913,0.9992948126548492,0.8862096142462936,ok
Sb2Se3,16,30.0,phase_scale_only,1.6521309314586994,0.0,0.0,0.0,-86.29,-116.29,19.480000000000004,0.0,1.0,0.6774506026482132,0.20517246194583832,0.6774506026482132,0.054396184700115154,ok
Sb2Se3,16,30.0,planar_response_to_eim_design,1.6521309314586994,1.1839170254833036,0.6724172891036901,1.6954167618629172,-86.67,-116.67,19.430000000000007,0.0,0.7643288535434324,0.516939232865223,0.1571884676837481,0.6763309149833742,0.05468951519701449,ok
GSST,32,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,3.6500000000000057,-13.232890152610775,1.0,1.0,1.0,1.0,0.893264213788844,ok
GSST,32,30.0,eim_prediction,1.0,5.728175000000009,0.074,11.382350000000013,30.0,0.0,3.6500000000000057,-10.254419501305552,0.41045700002611674,0.3363712343006735,0.3363712343006735,0.8195041972222931,0.528569969426136,ok
GSST,32,30.0,planar_calibrated,1.0,3.575450000000006,0.3728,6.778100000000007,30.0,0.0,3.6500000000000057,-13.315680438788974,0.508091648106075,0.47313012194930604,0.47313012194930604,0.9311905120127659,0.7245955893640975,ok
GSST,32,30.0,phase_scale_only,0.9794910748195975,0.0,0.0,0.0,30.0,0.0,3.660000000000011,-13.213140528520631,1.0,0.9987033650600072,0.9987033650600072,0.9987033650600072,0.8893212702973408,ok
GSST,32,30.0,planar_response_to_eim_design,0.9794910748195975,3.5021213634637354,0.365154272692746,6.639088454234721,30.0,0.0,3.660000000000011,-13.275697925511981,0.5137779623228372,0.47914496229826387,0.47914496229826387,0.9325915034035435,0.7302083678970934,ok
Sb2S3,32,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,3.6500000000000057,-13.232890152610775,1.0,1.0,1.0,1.0,0.893264213788844,EIM buffer slice below cutoff
Sb2S3,32,30.0,eim_prediction,1.0,0.7078749999999998,0.5639499999999997,0.8518,30.0,0.0,3.660000000000011,-13.228972178811569,0.8498552891392455,0.8497256814791754,0.8497256814791754,0.9998474944361394,0.8928796099497249,EIM buffer slice below cutoff
Sb2S3,32,30.0,planar_calibrated,1.0,1.7098999999999993,1.255999999999999,2.1638,30.0,0.0,3.660000000000011,-13.220529715810116,0.6765919813473344,0.6755675218676359,0.6755675218676359,0.998485853353363,0.8891666853489794,EIM buffer slice below cutoff
Sb2S3,32,30.0,phase_scale_only,2.695111708382328,0.0,0.0,0.0,-29.97,-59.97,3.6600000000000037,0.0,1.0,0.7434687774823624,0.0443073335478731,0.7434687774823624,0.02227314422702966,EIM buffer slice below cutoff
