t_nm,lr_re,lr_im,sr_re,sr_im,lr_L_um,sr_L_um,maier_vs_tmm_lr,maier_vs_tmm_sr
13.833208237715697,1.4511541720318815,1.0735911326590805e-05,1.5623322375685884,0.020244265950520222,11489.018225282527,6.092840372562348,2.2204460701883223e-16,1.3877787807814457e-17
14.71858501804111,1.4512951197636024,1.3069540871433256e-05,1.5504991673209243,0.018101168047789717,9437.598620301984,6.814205612067128,0.0,1.0408340855860843e-17
15.660629205497886,1.4514516755533837,1.592972918017247e-05,1.5399758692569954,0.016181519088492847,7743.074568382802,7.622589710006472,0.0,3.469446951953614e-18
16.662967724918857,1.4516251506651134,1.943171960164694e-05,1.530624871443621,0.014464467867259054,6347.615312736642,8.52745375966549,0.0,1.5612511283791264e-17
17.729459637816664,1.4518168575784542,2.3712891495344674e-05,1.5223217968236356,0.012930629798011371,5201.6044066340055,9.53898478442159,0.0,0.0
18.86421099999465,1.4520280768141534,2.8935589259747862e-05,1.5149544013831548,0.011562079759806745,4262.7464672994765,10.66807040416754,0.0,1.734723475976807e-18
20.071590670100207,1.4522600153302103,3.528971125940197e-05,1.5084216265357255,0.010342322653743618,3495.2136612723625,11.926245682498754,0.0,8.673617379884035e-18
21.356247129984286,1.4525137558749264,4.299474758118159e-05,1.5026326786599395,0.00925624622369865,2868.840680209177,13.325604993136421,2.2204468598871655e-16,2.2215299868541707e-16
22.72312638162647,1.452790197111686,5.230085217196636e-05,1.497506145713001,0.008290060441331796,2358.3761214952583,14.878670881729242,0.0,0.0
24.177490989529925,1.45308998497107,6.34884266541868e-05,1.4929691580891449,0.007431227341305221,1942.7963078698338,16.59821120134841,6.776263578034403e-20,4.336808689942018e-18
25.724940341900233,1.4534134365662046,7.686559424147789e-05,1.4889565984704036,0.006668384690305556,1604.6851925547196,18.496995393132757,2.2204466448202742e-16,0.0
27.371432208615328,1.4537604591330524,9.276287458215586e-05,1.4854103633574784,0.005991266339779529,1329.6815288639825,20.58748082642539,2.2204460657939253e-16,0.0
29.123305678985435,1.4541304677982916,0.00011152436392080641,1.482278677269698,0.005390621587306198,1105.9922384655463,22.881420796939466,0.0,0.0
30.987305567615113,1.4545223074510032,0.00013349481592709402,1.4795154592452338,0.0048581353811606495,923.9690698070384,25.389387330484542,0.0,0.0
32.970608382331186,1.4549341854520237,0.00015900224485450383,1.477079740224724,0.004386350761567734,775.7442733534152,28.12020460765292,2.2204460657939253e-16,0.0
35.08084995415465,1.4553636231353186,0.00018833606552861896,1.474935129127855,0.00396859454669235,654.9201319992306,31.08029289588719,8.131516293641283e-20,3.469446951953614e-18
37.32615483569367,1.4558074347531451,0.0002217213559884519,1.473049324897819,0.0035989069419976338,556.3067226715101,34.27292866532251,0.0,4.7704895589362195e-18
39.71516758114278,1.4562617423693351,0.00025929055633637786,1.471393671460856,0.0032719754749651964,475.70217226192847,37.69743442148841,0.0,0.0
42.257086028318795,1.4567220339102105,0.00030105473171876076,1.4699427523999173,0.002983073428139202,409.7098231674544,41.34832208041213,4.87890977618477e-19,2.2207890710983763e-16
44.96169671087044,1.4571832689358262,0.00034687730418235584,1.4686740221506687,0.002728002756399346,355.5870603496604,45.21442678416512,0.0,0.0
