lambda_nm,n,k
867.0,3.678,0.0046
868.0,3.678,0.0046
869.0,3.678,0.0046
870.0,3.678,0.0046
871.0,3.678,0.0046
872.0,3.678,0.0046
873.0,3.678,0.0046
874.0,3.678,0.0046
875.0,3.678,0.0046
876.0,3.678,0.0046
877.0,3.678,0.0046
878.0,3.678,0.0046
879.0,3.678,0.0046
880.0,3.678,0.0046
881.0,3.678,0.0046
882.0,3.678,0.0046
883.0,3.678,0.0046
884.0,3.678,0.0046
885.0,3.678,0.0046
886.0,3.678,0.0046
887.0,3.678,0.0046
888.0,3.678,0.0046
889.0,3.678,0.0046
890.0,3.678,0.0046
891.0,3.678,0.0046
892.0,3.678,0.0046
893.0,3.678,0.0046
894.0,3.678,0.0046
895.0,3.678,0.0046
896.0,3.678,0.0046
897.0,3.678,0.0046
898.0,3.678,0.0046
899.0,3.678,0.0046
900.0,3.678,0.0046
901.0,3.678,0.0046
902.0,3.678,0.0046
903.0,3.678,0.0046
904.0,3.678,0.0046
905.0,3.678,0.0046
906.0,3.678,0.0046
907.0,3.678,0.0046
908.0,3.678,0.0046
909.0,3.678,0.0046
910.0,3.678,0.0046
911.0,3.678,0.0046
912.0,3.678,0.0046
913.0,3.678,0.0046
914.0,3.678,0.0046
915.0,3.678,0.0046
916.0,3.678,0.0046
917.0,3.678,0.0046
918.0,3.678,0.0046
919.0,3.678,0.0046
920.0,3.678,0.0046
921.0,3.678,0.0046
922.0,3.678,0.0046
923.0,3.678,0.0046
924.0,3.678,0.0046
925.0,3.678,0.0046
926.0,3.678,0.0046
927.0,3.678,0.0046
928.0,3.678,0.0046
929.0,3.678,0.0046
930.0,3.678,0.0046
931.0,3.678,0.0046
932.0,3.678,0.0046
933.0,3.678,0.0046
934.0,3.678,0.0046
935.0,3.678,0.0046
936.0,3.678,0.0046
937.0,3.678,0.0046
938.0,3.678,0.0046
939.0,3.678,0.0046
940.0,3.678,0.0046
941.0,3.678,0.0046
942.0,3.678,0.0046
943.0,3.678,0.0046
944.0,3.678,0.0046
945.0,3.678,0.0046
946.0,3.678,0.0046
947.0,3.678,0.0046
948.0,3.678,0.0046
949.0,3.678,0.0046
950.0,3.678,0.0046
951.0,3.678,0.0046
952.0,3.678,0.0046
953.0,3.678,0.0046
954.0,3.678,0.0046
955.0,3.678,0.0046
956.0,3.678,0.0046
957.0,3.678,0.0046
958.0,3.678,0.0046
959.0,3.678,0.0046
960.0,3.678,0.0046
961.0,3.678,0.0046
962.0,3.678,0.0046
963.0,3.678,0.0046
964.0,3.678,0.0046
965.0,3.678,0.0046
966.0,3.678,0.0046
967.0,3.678,0.0046
968.0,3.678,0.0046
969.0,3.678,0.0046
970.0,3.678,0.0046
971.0,3.678,0.0046
972.0,3.678,0.0046
973.0,3.678,0.0046
974.0,3.678,0.0046
975.0,3.678,0.0046
976.0,3.678,0.0046
977.0,3.678,0.0046
978.0,3.678,0.0046
979.0,3.678,0.0046
980.0,3.678,0.0046
981.0,3.678,0.0046
982.0,3.678,0.0046
983.0,3.678,0.0046
984.0,3.678,0.0046
985.0,3.678,0.0046
986.0,3.678,0.0046
987.0,3.678,0.0046
988.0,3.678,0.0046
989.0,3.678,0.0046
990.0,3.678,0.0046
991.0,3.678,0.0046
992.0,3.678,0.0046
993.0,3.678,0.0046
994.0,3.678,0.0046
995.0,3.678,0.0046
996.0,3.678,0.0046
997.0,3.678,0.0046
998.0,3.678,0.0046
999.0,3.678,0.0046
1000.0,3.678,0.0046
1001.0,3.678,0.0046
1002.0,3.678,0.0046
1003.0,3.678,0.0046
1004.0,3.678,0.0046
1005.0,3.678,0.0046
1006.0,3.678,0.0046
1007.0,3.678,0.0046
1008.0,3.678,0.0046
1009.0,3.678,0.0046
1010.0,3.678,0.0046
1011.0,3.678,0.0046
1012.0,3.678,0.0046
1013.0,3.678,0.0046
1014.0,3.678,0.0046
1015.0,3.678,0.0046
1016.0,3.678,0.0046
1017.0,3.678,0.0046
1018.0,3.678,0.0046
1019.0,3.678,0.0046
1020.0,3.678,0.0046
1021.0,3.678,0.0046
1022.0,3.678,0.0046
1023.0,3.678,0.0046
1024.0,3.678,0.0046
1025.0,3.678,0.0046
1026.0,3.678,0.0046
1027.0,3.678,0.0046
1028.0,3.678,0.0046
1029.0,3.678,0.0046
1030.0,3.678,0.0046
1031.0,3.678,0.0046
1032.0,3.678,0.0046
1033.0,3.678,0.0046
1034.0,3.678,0.0046
1035.0,3.678,0.0046
1036.0,3.678,0.0046
1037.0,3.678,0.0046
1038.0,3.678,0.0046
1039.0,3.678,0.0046
1040.0,3.678,0.0046
1041.0,3.678,0.0046
1042.0,3.678,0.0046
1043.0,3.678,0.0046
1044.0,3.678,0.0046
1045.0,3.678,0.0046
1046.0,3.678,0.0046
1047.0,3.678,0.0046
1048.0,3.678,0.0046
1049.0,3.678,0.0046
1050.0,3.678,0.0046
1051.0,3.678,0.0046
1052.0,3.678,0.0046
1053.0,3.678,0.0046
1054.0,3.678,0.0046
1055.0,3.678,0.0046
1056.0,3.678,0.0046
1057.0,3.678,0.0046
1058.0,3.678,0.0046
1059.0,3.678,0.0046
1060.0,3.678,0.0046
1061.0,3.678,0.0046
1062.0,3.678,0.0046
1063.0,3.678,0.0046
1064.0,3.678,0.0046
1065.0,3.678,0.0046
1066.0,3.678,0.0046
1067.0,3.678,0.0046
1068.0,3.678,0.0046
1069.0,3.678,0.0046
1070.0,3.678,0.0046
1071.0,3.678,0.0046
1072.0,3.678,0.0046
1073.0,3.678,0.0046
1074.0,3.678,0.0046
1075.0,3.678,0.0046
1076.0,3.678,0.0046
1077.0,3.678,0.0046
1078.0,3.678,0.0046
1079.0,3.678,0.0046
1080.0,3.678,0.0046
1081.0,3.678,0.0046
1082.0,3.678,0.0046
