lambda_nm,n,k
753.0,0.169,4.615
754.0,0.169,4.626
755.0,0.169,4.637
756.0,0.169,4.648
757.0,0.17,4.659
758.0,0.17,4.671
759.0,0.17,4.682
760.0,0.17,4.693
761.0,0.17,4.704
762.0,0.171,4.715
763.0,0.171,4.727
764.0,0.171,4.738
765.0,0.171,4.749
766.0,0.172,4.76
767.0,0.172,4.771
768.0,0.172,4.783
769.0,0.172,4.794
770.0,0.172,4.805
771.0,0.173,4.816
772.0,0.173,4.827
773.0,0.173,4.839
774.0,0.173,4.85
775.0,0.174,4.861
776.0,0.174,4.871
777.0,0.174,4.881
778.0,0.174,4.892
779.0,0.175,4.902
780.0,0.175,4.912
781.0,0.175,4.922
782.0,0.175,4.933
783.0,0.176,4.943
784.0,0.176,4.953
785.0,0.176,4.963
786.0,0.177,4.974
787.0,0.177,4.984
788.0,0.177,4.994
789.0,0.177,5.004
790.0,0.178,5.015
791.0,0.178,5.025
792.0,0.178,5.035
793.0,0.178,5.045
794.0,0.179,5.056
795.0,0.179,5.066
796.0,0.179,5.076
797.0,0.179,5.086
798.0,0.18,5.097
799.0,0.18,5.107
800.0,0.18,5.117
801.0,0.181,5.128
802.0,0.181,5.138
803.0,0.181,5.148
804.0,0.181,5.158
805.0,0.182,5.169
806.0,0.182,5.179
807.0,0.182,5.189
808.0,0.182,5.199
809.0,0.183,5.21
810.0,0.183,5.22
811.0,0.183,5.23
812.0,0.184,5.24
813.0,0.184,5.251
814.0,0.184,5.261
815.0,0.184,5.271
816.0,0.185,5.281
817.0,0.185,5.292
818.0,0.185,5.302
819.0,0.185,5.312
820.0,0.186,5.322
821.0,0.186,5.333
822.0,0.186,5.343
823.0,0.187,5.353
824.0,0.187,5.364
825.0,0.187,5.374
826.0,0.187,5.384
827.0,0.188,5.393
828.0,0.188,5.402
829.0,0.188,5.41
830.0,0.189,5.418
831.0,0.189,5.427
832.0,0.19,5.435
833.0,0.19,5.443
834.0,0.19,5.451
835.0,0.191,5.46
836.0,0.191,5.468
837.0,0.191,5.476
838.0,0.192,5.485
839.0,0.192,5.493
840.0,0.193,5.501
841.0,0.193,5.51
842.0,0.193,5.518
843.0,0.194,5.526
844.0,0.194,5.534
845.0,0.194,5.543
846.0,0.195,5.551
847.0,0.195,5.559
848.0,0.195,5.568
849.0,0.196,5.576
850.0,0.196,5.584
851.0,0.197,5.593
852.0,0.197,5.601
853.0,0.197,5.609
854.0,0.198,5.617
855.0,0.198,5.626
856.0,0.198,5.634
857.0,0.199,5.642
858.0,0.199,5.651
859.0,0.2,5.659
860.0,0.2,5.667
861.0,0.2,5.676
862.0,0.201,5.684
863.0,0.201,5.692
864.0,0.201,5.7
865.0,0.202,5.709
866.0,0.202,5.717
867.0,0.203,5.725
868.0,0.203,5.734
869.0,0.203,5.742
870.0,0.204,5.75
871.0,0.204,5.759
872.0,0.204,5.767
873.0,0.205,5.775
874.0,0.205,5.783
875.0,0.206,5.792
876.0,0.206,5.8
877.0,0.206,5.808
878.0,0.207,5.817
879.0,0.207,5.825
880.0,0.207,5.833
881.0,0.208,5.842
882.0,0.208,5.85
883.0,0.209,5.858
884.0,0.209,5.866
885.0,0.209,5.875
886.0,0.21,5.883
887.0,0.21,5.892
888.0,0.21,5.901
889.0,0.211,5.909
890.0,0.211,5.918
891.0,0.212,5.927
892.0,0.212,5.935
893.0,0.212,5.944
894.0,0.213,5.953
895.0,0.213,5.961
896.0,0.213,5.97
897.0,0.214,5.978
898.0,0.214,5.987
899.0,0.215,5.996
900.0,0.215,6.004
901.0,0.215,6.013
902.0,0.216,6.022
903.0,0.216,6.03
904.0,0.217,6.039
905.0,0.217,6.048
906.0,0.217,6.056
907.0,0.218,6.065
908.0,0.218,6.074
909.0,0.218,6.082
910.0,0.219,6.091
911.0,0.219,6.1
912.0,0.22,6.108
913.0,0.22,6.117
914.0,0.22,6.126
915.0,0.221,6.134
916.0,0.221,6.143
917.0,0.221,6.152
918.0,0.222,6.16
919.0,0.222,6.169
920.0,0.223,6.178
921.0,0.223,6.186
922.0,0.223,6.195
923.0,0.224,6.204
924.0,0.224,6.212
925.0,0.225,6.221
926.0,0.225,6.23
927.0,0.225,6.238
928.0,0.226,6.247
929.0,0.226,6.256
930.0,0.226,6.264
931.0,0.227,6.273
932.0,0.227,6.282
933.0,0.228,6.29
934.0,0.228,6.299
935.0,0.228,6.308
936.0,0.229,6.316
937.0,0.229,6.325
938.0,0.23,6.334
939.0,0.23,6.342
940.0,0.23,6.351
941.0,0.231,6.36
942.0,0.231,6.368
943.0,0.231,6.377
944.0,0.232,6.386
945.0,0.232,6.394
946.0,0.233,6.403
947.0,0.233,6.412
948.0,0.233,6.42
949.0,0.234,6.429
950.0,0.234,6.438
951.0,0.234,6.446
952.0,0.235,6.455
953.0,0.235,6.464
954.0,0.236,6.472
955.0,0.236,6.479
956.0,0.237,6.487
957.0,0.237,6.494
958.0,0.237,6.502
959.0,0.238,6.51
960.0,0.238,6.517
961.0,0.239,6.525
962.0,0.239,6.532
963.0,0.24,6.54
964.0,0.24,6.547
965.0,0.241,6.555
966.0,0.241,6.562
967.0,0.242,6.57
968.0,0.242,6.578
969.0,0.242,6.585
970.0,0.243,6.593
971.0,0.243,6.6
972.0,0.244,6.608
973.0,0.244,6.615
974.0,0.245,6.623
975.0,0.245,6.63
976.0,0.246,6.638
977.0,0.246,6.645
978.0,0.247,6.653
979.0,0.247,6.661
980.0,0.247,6.668
981.0,0.248,6.676
982.0,0.248,6.683
983.0,0.249,6.691
984.0,0.249,6.698
985.0,0.25,6.706
986.0,0.25,6.713
987.0,0.251,6.721
988.0,0.251,6.728
989.0,0.251,6.736
990.0,0.252,6.744
991.0,0.252,6.751
992.0,0.253,6.759
993.0,0.253,6.766
994.0,0.254,6.774
995.0,0.254,6.781
996.0,0.255,6.789
997.0,0.255,6.796
998.0,0.256,6.804
999.0,0.256,6.812
1000.0,0.256,6.819
1001.0,0.257,6.827
1002.0,0.257,6.834
1003.0,0.258,6.842
1004.0,0.258,6.849
1005.0,0.259,6.857
1006.0,0.259,6.864
1007.0,0.26,6.872
1008.0,0.26,6.879
1009.0,0.261,6.887
1010.0,0.261,6.895
1011.0,0.261,6.902
1012.0,0.262,6.91
1013.0,0.262,6.917
1014.0,0.263,6.925
1015.0,0.263,6.932
1016.0,0.264,6.94
1017.0,0.264,6.947
1018.0,0.265,6.955
1019.0,0.265,6.963
1020.0,0.266,6.97
1021.0,0.266,6.978
1022.0,0.266,6.985
1023.0,0.267,6.993
1024.0,0.267,7.0
1025.0,0.268,7.008
1026.0,0.268,7.015
1027.0,0.269,7.023
1028.0,0.269,7.03
1029.0,0.27,7.038
1030.0,0.27,7.046
1031.0,0.271,7.053
1032.0,0.271,7.061
1033.0,0.271,7.068
1034.0,0.272,7.077
1035.0,0.272,7.086
1036.0,0.273,7.095
1037.0,0.273,7.105
1038.0,0.274,7.114
1039.0,0.274,7.123
1040.0,0.274,7.132
1041.0,0.275,7.141
1042.0,0.275,7.15
1043.0,0.276,7.16
1044.0,0.276,7.169
1045.0,0.277,7.178
1046.0,0.277,7.187
1047.0,0.277,7.196
1048.0,0.278,7.205
1049.0,0.278,7.214
1050.0,0.279,7.224
1051.0,0.279,7.233
1052.0,0.28,7.242
1053.0,0.28,7.251
1054.0,0.28,7.26
1055.0,0.281,7.269
1056.0,0.281,7.279
1057.0,0.282,7.288
1058.0,0.282,7.297
1059.0,0.283,7.306
1060.0,0.283,7.315
1061.0,0.283,7.324
1062.0,0.284,7.333
1063.0,0.284,7.343
1064.0,0.285,7.352
1065.0,0.285,7.361
1066.0,0.285,7.37
1067.0,0.286,7.379
1068.0,0.286,7.388
1069.0,0.287,7.398
1070.0,0.287,7.407
1071.0,0.288,7.416
1072.0,0.288,7.425
1073.0,0.288,7.434
1074.0,0.289,7.443
1075.0,0.289,7.453
1076.0,0.29,7.462
1077.0,0.29,7.471
1078.0,0.291,7.48
1079.0,0.291,7.489
1080.0,0.291,7.498
1081.0,0.292,7.507
1082.0,0.292,7.517
1083.0,0.293,7.526
1084.0,0.293,7.535
1085.0,0.294,7.544
1086.0,0.294,7.553
1087.0,0.294,7.562
1088.0,0.295,7.572
1089.0,0.295,7.581
1090.0,0.296,7.59
1091.0,0.296,7.599
1092.0,0.297,7.608
1093.0,0.297,7.617
1094.0,0.297,7.627
1095.0,0.298,7.636
1096.0,0.298,7.645
1097.0,0.299,7.654
1098.0,0.299,7.663
1099.0,0.3,7.672
1100.0,0.3,7.681
1101.0,0.3,7.691
1102.0,0.301,7.7
1103.0,0.301,7.709
1104.0,0.302,7.718
1105.0,0.302,7.727
1106.0,0.303,7.736
1107.0,0.303,7.746
1108.0,0.303,7.755
1109.0,0.304,7.764
1110.0,0.304,7.773
1111.0,0.305,7.782
1112.0,0.305,7.791
1113.0,0.305,7.8
1114.0,0.306,7.81
1115.0,0.306,7.819
1116.0,0.307,7.828
1117.0,0.307,7.837
1118.0,0.308,7.846
1119.0,0.308,7.855
1120.0,0.308,7.865
1121.0,0.309,7.874
1122.0,0.309,7.883
1123.0,0.31,7.892
1124.0,0.31,7.901
1125.0,0.311,7.91
1126.0,0.311,7.92
1127.0,0.311,7.929
1128.0,0.312,7.936
1129.0,0.313,7.944
1130.0,0.313,7.951
1131.0,0.314,7.959
1132.0,0.314,7.966
1133.0,0.315,7.974
1134.0,0.315,7.981
1135.0,0.316,7.988
1136.0,0.316,7.996
1137.0,0.317,8.003
1138.0,0.317,8.011
1139.0,0.318,8.018
1140.0,0.318,8.026
1141.0,0.319,8.033
1142.0,0.319,8.041
1143.0,0.32,8.048
1144.0,0.321,8.056
1145.0,0.321,8.063
1146.0,0.322,8.07
1147.0,0.322,8.078
1148.0,0.323,8.085
1149.0,0.323,8.093
1150.0,0.324,8.1
1151.0,0.324,8.108
1152.0,0.325,8.115
1153.0,0.325,8.123
1154.0,0.326,8.13
1155.0,0.326,8.138
1156.0,0.327,8.145
1157.0,0.327,8.152
1158.0,0.328,8.16
1159.0,0.328,8.167
1160.0,0.329,8.175
1161.0,0.33,8.182
1162.0,0.33,8.19
1163.0,0.331,8.197
1164.0,0.331,8.205
1165.0,0.332,8.212
1166.0,0.332,8.219
1167.0,0.333,8.227
1168.0,0.333,8.234
1169.0,0.334,8.242
1170.0,0.334,8.249
1171.0,0.335,8.257
1172.0,0.335,8.264
1173.0,0.336,8.272
1174.0,0.336,8.279
1175.0,0.337,8.287
1176.0,0.338,8.294
1177.0,0.338,8.301
1178.0,0.339,8.309
1179.0,0.339,8.316
1180.0,0.34,8.324
1181.0,0.34,8.331
1182.0,0.341,8.339
1183.0,0.341,8.346
1184.0,0.342,8.354
1185.0,0.342,8.361
1186.0,0.343,8.369
1187.0,0.343,8.376
1188.0,0.344,8.383
1189.0,0.344,8.391
1190.0,0.345,8.398
1191.0,0.346,8.406
1192.0,0.346,8.413
1193.0,0.347,8.421
1194.0,0.347,8.428
1195.0,0.348,8.436
1196.0,0.348,8.443
1197.0,0.349,8.451
1198.0,0.349,8.458
1199.0,0.35,8.465
