lambda_nm,n,k
623.0,1.927311,0.01948846
624.0,1.927152,0.01955378
625.0,1.926995,0.01961871
626.0,1.926839,0.01968325
627.0,1.926683,0.01974742
628.0,1.926529,0.01981122
629.0,1.926377,0.01987463
630.0,1.926225,0.01993768
631.0,1.926075,0.02000037
632.0,1.925925,0.02006268
633.0,1.925777,0.02012464
634.0,1.92563,0.02018624
635.0,1.925484,0.02024748
636.0,1.925339,0.02030837
637.0,1.925195,0.02036891
638.0,1.925053,0.0204291
639.0,1.924911,0.02048895
640.0,1.92477,0.02054846
641.0,1.924631,0.02060763
642.0,1.924492,0.02066646
643.0,1.924354,0.02072496
644.0,1.924218,0.02078312
645.0,1.924082,0.02084096
646.0,1.923948,0.02089848
647.0,1.923814,0.02095567
648.0,1.923681,0.02101253
649.0,1.923549,0.02106909
650.0,1.923419,0.02112532
651.0,1.923289,0.02118125
652.0,1.92316,0.02123686
653.0,1.923031,0.02129216
654.0,1.922904,0.02134716
655.0,1.922778,0.02140186
656.0,1.922652,0.02145625
657.0,1.922528,0.02151034
658.0,1.922404,0.02156414
659.0,1.922281,0.02161765
660.0,1.922159,0.02167086
661.0,1.922038,0.02172378
662.0,1.921918,0.02177642
663.0,1.921798,0.02182877
664.0,1.921679,0.02188084
665.0,1.921561,0.02193263
666.0,1.921444,0.02198413
667.0,1.921328,0.02203537
668.0,1.921212,0.02208632
669.0,1.921098,0.02213701
670.0,1.920983,0.02218742
671.0,1.92087,0.02223757
672.0,1.920758,0.02228745
673.0,1.920646,0.02233707
674.0,1.920535,0.02238642
675.0,1.920424,0.02243551
676.0,1.920315,0.02248435
677.0,1.920206,0.02253293
678.0,1.920097,0.02258125
679.0,1.91999,0.02262933
680.0,1.919883,0.02267715
681.0,1.919777,0.02272472
682.0,1.919671,0.02277205
683.0,1.919567,0.02281913
684.0,1.919462,0.02286597
685.0,1.919359,0.02291256
686.0,1.919256,0.02295892
687.0,1.919154,0.02300504
688.0,1.919052,0.02305092
689.0,1.918951,0.02309657
690.0,1.918851,0.02314199
691.0,1.918751,0.02318717
